0,1
Administration Agreement,141
Amendment,143
"Notes Owned by the Issuing Entity, the Depositor, the Servicer and their Affiliates",145
Certain Legal Aspects of the Vehicle Trust and the 2024-2 SUBI,145
The Vehicle Trust,145
The 2024-2 SUBI,146
Insolvency-Related Matters,147
Dodd Frank Orderly Liquidation Framework,148
Certain Legal Aspects of the Specified Leases and the Specified Vehicles,151
General,151
Back-up Security Interests,151
Vicarious Tort Liability,152
Repossession of Specified Vehicles,153
Deficiency Judgments,153
Consumer Protection Laws,154
Other Limitations,155
Legal Proceedings,155
Material U.S. Federal Income Tax Considerations,155
Tax Characterization of the Issuing Entity,157
Partnership Audit Rules,157
Treatment of the Notes as Debt,157
Tax Considerations for U.S. Note Owners,158
Possible Alternative Characterization,160
Tax Status of the Vehicle Trust,161
Tax Considerations for Non-U.S. Note Owners,161
FATCA Withholding,162
Information Reporting and Backup Withholding,162
State and Local Tax Considerations,163
ERISA Considerations,163
Ratings of the Notes,165
Plan of Distribution,165
European Economic Area,166
United Kingdom,167
Requirements for Certain European and United Kingdom Regulated Investors and Affiliates,167
Legal Opinions,169
Index of Principal Terms,170
