0,1
"Issuing Entity’s Interest, Which May Result in Reduced Payments  on Your Notes",37
"If  the Servicer Does Not Maintain Control of the Receivables Evidenced by Electronic Contracts, the Issuing Entity May Not Have A Perfected  Security Interest in Those Receivables",38
GENERAL  RISKS RELATING TO THE TRANSACTION,39
The  Offered Notes Are Not Suitable Investments for All Investors,39
"Withdrawal  or Downgrade of the Initial Ratings of the Notes Will, and the Issuance of Unsolicited Ratings on your Notes or any Adverse Changes  to a Hired Rating Agency May, Affect the Prices for the Offered Notes Upon Resale",39
"Because  the Offered Notes are in Book-Entry Form, Your Rights Can Only Be Exercised Indirectly",40
You  May Suffer Delays in Payments as a Result of the Manner in Which Principal and Interest of the Offered Notes is Paid,41
Combination  or “Layering” of Multiple Risk Factors May Significantly Increase the Risk of Loss on the Offered Notes,41
WORLD  OMNI FINANCIAL CORP.,42
WORLD  OMNI FINANCIAL CORP.’S AUTOMOBILE FINANCE BUSINESS,43
Underwriting,43
Risk-Based  Pricing,45
Electronic  Contracts and Electronic Contracting,45
Servicing,45
Insurance,46
Customer  Service,47
Corporate  Responsibility,47
THE  DEPOSITOR,48
THE  ISSUING ENTITY,49
Capitalization  of the Issuing Entity,49
The  Owner Trustee,50
The  Indenture Trustee,51
The  Trust Property,52
ASSET  REPRESENTATIONS REVIEWER,54
THE  RECEIVABLES POOL,56
The  Receivables,56
Asset-Level  Data,67
Pool  Underwriting,67
Review  of Pool Assets,67
"DELINQUENCIES,  REPOSSESSIONS AND NET LOSSES",69
STATIC  POOL INFORMATION ABOUT CERTAIN PRIOR SECURITIZED POOLS,72
PREPAYMENT  AND YIELD CONSIDERATIONS—WEIGHTED AVERAGE LIFE OF THE SECURITIES,73
