0,1
MATERIAL LEGAL ASPECTS OF THE RECEIVABLES,156
Rights in the Receivables,156
Security Interests in the  Financed Vehicles,157
Repossession,158
Notice of Sale; Redemption  Rights,159
Deficiency Judgments and Excess  Proceeds,159
Consumer Protection Law,159
Certain Matters Relating to  Bankruptcy,162
Dodd Frank Orderly Liquidation  Framework,163
Repurchase Obligation,165
Other Limitations,165
MATERIAL UNITED STATES FEDERAL INCOME TAX CONSEQUENCES,166
Tax Treatment of Issuing Entity,167
Opinions,167
Tax Consequences to United  States Holders,168
Tax Consequences to Non-United  States Holders,170
FATCA,172
Tax Regulations for Related-Party  Note Acquisitions,172
Possible Alternative Treatments  of the Notes and the Issuing Entity,173
STATE AND LOCAL TAX CONSIDERATIONS,174
CERTAIN CONSIDERATIONS FOR ERISA AND OTHER U.S. EMPLOYEE  BENEFIT PLANS,174
United Kingdom,178
European Economic Area,178
FORWARD-LOOKING STATEMENTS,179
REPORTS TO NOTEHOLDERS,179
INCORPORATION BY REFERENCE,179
LEGAL OPINIONS,180
GLOSSARY,181
INDEX OF PRINCIPAL TERMS,186
