0,1
Table  of Contents,Table  of Contents
Section,Pages
Certificate  Distribution Detail,2
Certificate  Factor Detail,3
Certificate  Interest Reconciliation Detail,4
Additional  Information,5
Bond  / Collateral Reconciliation - Cash Flows,6
Bond  / Collateral Reconciliation - Balances,7
Current  Mortgage Loan and Property Stratification,8-12
Mortgage  Loan Detail (Part 1),13
Mortgage  Loan Detail (Part 2),14
Principal  Prepayment Detail,15
Historical  Detail,16
Delinquency  Loan Detail,17
Collateral  Stratification and Historical Detail,18
Specially  Serviced Loan Detail - Part 1,19
Specially  Serviced Loan Detail - Part 2,20
Modified  Loan Detail,21
Historical  Liquidated Loan Detail,22
Historical  Bond / Collateral Loss Reconciliation Detail,23
Interest  Shortfall Detail - Collateral Level,24
Supplemental  Notes,25
,
,
,
,
,
