0,1,2,3,4,5,6,7
Portfolio Summary,Portfolio Summary,Portfolio Summary,Portfolio Summary,Portfolio Summary,Portfolio Summary,Portfolio Summary,Portfolio Summary
Property Name  Address,Year Built/ Renovated,Allocated Mortgage Loan Amount (“ALA”),% of Mortgage ALA,Appraised Value(1),% of Portfolio Appraised Value,UW NCF,% of Portfolio UW NCF
"SOA - Range Road  1661 Range Road  Kimball, MI 48074",1992/2016,"$12,325,000",19.4%,"$17,200,000",18.6%,"$1,014,077",20.5%
"SOA - Akron Main  1977 Buchholzer Boulevard  Akron, OH 44310",1966/2019,"$9,400,000",14.8%,"$12,800,000",13.8%,"$838,761",16.9%
"SOA - Moline  2000 and 2200 36th Avenue  Moline, IL 61265",1963/2018,"$8,100,000",12.8%,"$10,910,000",11.8%,"$629,234",12.7%
"SOA - Gustine  4327 Gustine Avenue  St. Louis, MO 63116",1954/2018,"$6,500,000",10.2%,"$10,750,000",11.6%,"$437,558",8.8%
"SOA - Oak Harbor  1825 Oak Harbor Road  Fremont, OH 43420",1993/2020,"$6,325,000",10.0%,"$9,230,000",10.0%,"$516,549",10.4%
"SOA - Dort Hwy  4002 South Dort Highway  Flint, MI 48507",1963/2020,"$5,100,000",8.0%,"$7,050,000",7.6%,"$376,982",7.6%
"SOA - Rock Island  2832 5th Street  Rock Island, IL 61201",1966/2018,"$5,000,000",7.9%,"$6,690,000",7.2%,"$411,783",8.3%
"SOA - Broadway 1 & 2  2828 and 2940 Broadway Street  Anderson, IN 46012",1980/2019,"$4,850,000",7.6%,"$6,370,000",6.9%,"$371,543",7.5%
"SOA - Chestnut  1201 East 5th Street  Anderson, IN 46012",1904/2018,"$3,100,000",4.9%,"$6,540,000",7.1%,"$159,900",3.2%
"SOA - Kitridge  5041 Kitridge Road  Dayton, OH 45424","1956/2020, 2023-2024","$2,800,000",4.4%,"$5,070,000",5.5%,"$194,583",3.9%
Total,,"$63,500,000",100.0%,"$92,610,000",100.0%,"$4,950,971",100.0%
