0,1,2,3,4,5,6,7
Mortgage  Loan Information,Mortgage  Loan Information,Mortgage  Loan Information,Mortgage  Loan Information,Mortgage  Loan Information,,Property  Information,Property  Information
Mortgage Loan Seller:,Mortgage Loan Seller:,WFB,WFB,WFB,,Single Asset/Portfolio:,Single Asset
,,,,,,Location:,"Commerce, CA 90040"
Original Balance:,Original Balance:,"$45,000,000","$45,000,000","$45,000,000",,General Property Type:,Office
Cut-off Date Balance:,Cut-off Date Balance:,"$45,000,000","$45,000,000","$45,000,000",,Detailed Property Type:,Suburban
% of Initial Pool Balance:,% of Initial Pool Balance:,5.9%,5.9%,5.9%,,Title Vesting:,Fee
Loan Purpose:,Loan Purpose:,Refinance,Refinance,Refinance,,Year Built/Renovated:,"1958-1988 / 2016-2017, 2019"
Borrower Sponsor:,Borrower Sponsor:,Omninet Capital,Omninet Capital,Omninet Capital,,Size:,"283,948 SF"
Guarantors:,Guarantors:,Neil Kadisha and Benjamin Nazarian,Neil Kadisha and Benjamin Nazarian,Neil Kadisha and Benjamin Nazarian,,Cut-off Date Balance PSF:,$158
Mortgage Rate:,Mortgage Rate:,6.4730%,6.4730%,6.4730%,,Maturity Date Balance PSF:,$158
Note Date:,Note Date:,12/19/2025,12/19/2025,12/19/2025,,Property Manager:,"Omninet Property Management,"
Maturity Date:,Maturity Date:,1/11/2031,1/11/2031,1/11/2031,,,LLC (Borrower-related)
Term to Maturity:,Term to Maturity:,60 months,60 months,60 months,,Underwriting  and Financial Information,Underwriting  and Financial Information
Amortization Term:,Amortization Term:,0 months,0 months,0 months,,UW NOI:,"$5,832,985"
IO Period:,IO Period:,60 months,60 months,60 months,,UW NCF:,"$5,516,986"
Seasoning:,Seasoning:,2 months,2 months,2 months,,UW NOI Debt Yield:,13.0%
Prepayment Provisions:,Prepayment Provisions:,"L(26),D(27),O(7)","L(26),D(27),O(7)","L(26),D(27),O(7)",,UW NCF Debt Yield:,12.3%
Lockbox/Cash Mgmt Status:,Lockbox/Cash Mgmt Status:,Hard/Springing,Hard/Springing,Hard/Springing,,UW NOI Debt Yield at Maturity:,13.0%
Additional Debt Type:,Additional Debt Type:,NAP,NAP,NAP,,UW NCF DSCR:,1.87x
Additional Debt Balance:,Additional Debt Balance:,NAP,NAP,NAP,,Most Recent NOI:,"$5,884,804 (8/31/2025 TTM)"
Future Debt Permitted (Type):,Future Debt Permitted (Type):,No (NAP),No (NAP),No (NAP),,2nd Most Recent NOI:,"$5,586,775 (12/31/2024)"
,,,,,,3rd Most Recent NOI:,"$5,435,288 (12/31/2023)"
Reserves(1),Reserves(1),Reserves(1),Reserves(1),Reserves(1),,Most Recent Occupancy:,99.6% (12/1/2025)
Type,Initial,Initial,Monthly,Cap,,2nd Most Recent Occupancy:,99.4% (12/31/2024)
RE Taxes:,"$235,144","$235,144","$58,786",NAP,,3rd Most Recent Occupancy:,99.0% (12/31/2023)
Insurance:,$0,$0,Springing,NAP,,Appraised Value (as of):,"$75,900,000 (12/1/2025)"
Replacement Reserve:,$0,$0,"$5,916","$212,961",,Appraised Value PSF:,$267
Leasing Reserve:,"$2,717,298","$2,717,298",Springing,"$735,036",,Cut-off Date LTV Ratio:,59.3%
Immediate Repair Reserve:,"$10,350","$10,350",$0,NAP,,Maturity Date LTV Ratio:,59.3%
Rent Concession Reserve:,"$241,258","$241,258",$0,NAP,,,
,,,,,,,
