0,1,2
,,
Series 2012-A*,Series 2012-A*,Series 2012-A*
Maximum Invested Amount,,"$3,448,276,000"
Class A Maximum Invested Amount,,"$3,000,000,000"
Class A Certificate Rate,,Floating Rate
Class B Maximum Invested Amount,,"$112,069,000"
Class B Certificate Rate,,Floating Rate
Annual Servicing Fee Percentage,,2.0% per year
Collateral Maximum Invested Amount,,"$336,207,000"
Enhancement for the Class A and Class B Certificates,,Collateral Invested Amount
Other enhancement for the Class A Certificates,,Subordination of the Class B Certificates
Expected Final Payment Date,,Extendable
Series Issuance Date,,"October 3, 2012"
Principal Sharing Series,,Yes
Excess Allocation Series,,Yes
Group,,Group II
