0,1,2,3,4,5
Distribution Date,0% CPP,25% CPP,50% CPP,75% CPP,100% CPP
Closing Date,100%,100%,100%,100%,100%
October 2026,100%,100%,100%,100%,100%
October 2027,100%,100%,100%,100%,100%
October 2028,100%,100%,100%,100%,100%
October 2029,100%,100%,100%,100%,100%
October 2030,100%,100%,100%,100%,100%
October 2031,100%,100%,100%,100%,100%
October 2032,100%,100%,100%,100%,100%
October 2033,100%,100%,100%,100%,100%
October 2034,100%,100%,100%,100%,100%
October 2035 and thereafter,0%,0%,0%,0%,0%
Weighted Average Life (years),9.92,9.91,9.91,9.91,9.66
