0,1,2,3
Class of Certificates,Low Estimate of  Fair Value (Based on High Estimate of Discount Yield),Base Case Estimate  of Fair Value,High Estimate of  Fair Value (Based on Low Estimate of Discount Yield)
Class A-1,"$5,382,945","$5,382,886","$5,382,908"
Class A-2(1),"$151,494,422","$151,498,773","$151,497,426"
Class A-3(1),"$286,923,531","$286,925,491","$286,926,433"
Class X-A,"$16,722,472","$25,012,390","$31,174,886"
Class X-B,"$1,500,571","$3,955,361","$5,921,117"
Class A-S,"$46,292,590","$46,292,254","$46,291,775"
Class B,"$35,118,143","$35,118,806","$35,117,748"
Class C,"$26,347,594","$26,347,007","$26,347,683"
Class X-D,"$2,228,776","$2,272,732","$2,311,040"
Class X-E,"$711,322","$711,322","$711,322"
Class X-F,"$518,839","$518,839","$518,839"
Class D,"$20,047,845","$20,656,320","$21,173,108"
Class E,"$6,179,878","$6,179,878","$6,179,878"
Class F,"$4,491,581","$4,491,581","$4,491,581"
Class G-RR,"$4,615,460","$4,615,460","$4,615,460"
Class H-RR,"$3,905,319","$3,905,319","$3,905,319"
Class J-RR,"$10,651,131","$10,651,131","$10,651,131"
Total,"$623,132,420","$634,535,550","$643,217,654"
