0,1,2,3
Cash Flow Analysis(1),Cash Flow Analysis(1),Cash Flow Analysis(1),Cash Flow Analysis(1)
,Appraisal,UW,UW PSF
Rents In Place(2),"$12,515,396","$12,478,364",$36.77
Vacant Income,$0,"$280,013",$0.83
Total Reimbursements,"$5,153,375","$5,659,674",$16.68
Other Income,"$757,707","$931,308",$2.74
Less Vacancy/Concessions,"($740,872)","($712,089)",($2.10)
Effective Gross Income,"$17,685,606","$18,637,270",$54.92
,,,
Real Estate Taxes,"$736,246","$736,246",$2.17
Insurance,"$471,688","$676,617",$1.99
Management,"$221,213","$652,304",$1.92
Other Operating Expenses,"$4,316,388","$4,316,388",$12.72
Total Expenses,"$5,745,535","$6,381,555",$18.80
,,,
Net Operating Income,"$11,940,071","$12,255,715",$36.11
Replacement Reserves,$0,"$67,871",$0.20
TI/LC,$0,"$488,532",$1.44
Net Cash Flow,"$11,940,071","$11,699,311",$34.47
,,,
Occupancy %(3),97.8%,96.1%,
NOI DSCR(4),1.70x,1.75x,
NCF DSCR(4),1.70x,1.67x,
NOI Debt Yield(4),11.5%,11.8%,
NCF Debt Yield(4),11.5%,11.2%,
