0,1,2
Mortgage Loan/Property  Portfolio Names,Aggregate Cut-off  Date Balance,Approx. % of Initial  Pool Balance
Southeast MHP Portfolio,"$ 85,000,000",9.97%
Mountain Industrial Portfolio,"$ 81,500,000",9.6%
Westwood Multifamily Portfolio,"$ 65,000,000",7.6%
Storage of America Portfolio 2,"$ 63,500,000",7.5%
Setna Industrial Portfolio,"$ 39,500,000",4.6%
ExchangeRight 75,"$ 37,330,000",4.4%
COARE Fund I,"$ 32,800,000",3.8%
Spokane Retail Portfolio,"$ 20,800,000",2.4%
Rivercrest WMX Portfolio,"$ 12,350,000",1.4%
Total,"$ 437,780,000",51.4%
