0,1,2,3,4
,,,,
AART 2019-2,AART 2019-2,AART 2019-2,AART 2019-2,
State,,Percentage of Aggregate Amount Financed,Percentage of Aggregate Amount Financed,
Texas,,,12.52,%
California,,,10.37,%
Florida,,,8.98,%
Pennsylvania,,,4.61,%
Illinois,,,4.55,%
North Carolina,,,3.95,%
,,,,
The AART 2019-2 pool of receivables includes receivables originated in all 50 states and the District of Columbia. No other state accounts for more than 3.73% of the Aggregate Amount Financed for the AART 2019-2 pool of receivables.,The AART 2019-2 pool of receivables includes receivables originated in all 50 states and the District of Columbia. No other state accounts for more than 3.73% of the Aggregate Amount Financed for the AART 2019-2 pool of receivables.,The AART 2019-2 pool of receivables includes receivables originated in all 50 states and the District of Columbia. No other state accounts for more than 3.73% of the Aggregate Amount Financed for the AART 2019-2 pool of receivables.,The AART 2019-2 pool of receivables includes receivables originated in all 50 states and the District of Columbia. No other state accounts for more than 3.73% of the Aggregate Amount Financed for the AART 2019-2 pool of receivables.,
