0,1,2,3,4,5,6,7,8
,,,,,,,,
,,AART 2024-1,AART 2024-1,,,AART 2024-2,AART 2024-2,
Weighted Average APR,,,9.62,%,,,9.89,%
Aggregate Amount Financed,,$,1121999935.31,,,$,1114879158.52,
Number of Contracts in Pool,,,59162,,,,61802,
Average Amount Financed,,$,18964.88,,,$,18039.53,
Weighted Average Original Maturity (in Months),,,70.97,,,,71.03,
Weighted Average Remaining Maturity (in Months),,,53.76,,,,54.11,
Percentage of Receivables with Original Maturities > 60 Months,,,82.05,%,,,79.46,%
Percentage of New Vehicles,,,40.00,%,,,40.34,%
Percentage of Non-Subvented Receivables,,,99.88,%,,,99.96,%
Weighted Average FICO Score,,,734.63,,,,734.76,
Weighted Average Loan-to-Value,,,95.81,,,,94.29,
Cutoff Date,,,"February 1, 2024",,,,"August 1, 2024",
