0,1,2
Cash Flow Analysis(1),Cash Flow Analysis(1),Cash Flow Analysis(1)
,UW,UW PSF
Base Rent(2),"$8,033,601",$11.50
Vacant Income,$0,$0.00
Gross Potential Rent,"$8,033,601",$11.50
Total Reimbursements,"$2,330,506",$3.34
Net Rental Income,"$10,364,107",$14.84
Less Vacancy & Credit Loss,"($518,205)",($0.74)
Effective Gross Income,"$9,845,902",$14.09
,,
Total Expenses,"$2,330,506",$3.34
,,
Net Operating Income,"$7,515,396",$10.76
CapEx,"$139,715",$0.20
TI/LC,"$316,780",$0.45
Net Cash Flow,"$7,058,901",$10.10
,,
Occupancy %(3),95.0%,
NOI DSCR,1.62x,
NCF DSCR,1.52x,
NOI Debt Yield,10.7%,
NCF Debt Yield,10.1%,
