0,1,2,3,4,5,6,7,8
,,Yield  Supplement  Overcollateralization Amount ($),Yield  Supplement  Overcollateralization Amount ($),Yield  Supplement  Overcollateralization Amount ($),Yield  Supplement  Overcollateralization Amount ($),Yield  Supplement  Overcollateralization Amount ($),Yield  Supplement  Overcollateralization Amount ($),
Payment Date,,8.60% Required  Rate,8.60% Required  Rate,,,8.35% Required  Rate,8.35% Required  Rate,
Closing Date,,$,73352433.07,,,$,68076742.79,
September 2026,,$,69609799.00,,,$,64584420.03,
October 2026,,$,67438166.03,,,$,62558580.03,
November 2026,,$,65303165.23,,,$,60567389.75,
December 2026,,$,63205169.92,,,$,58611190.20,
January 2027,,$,61144315.61,,,$,56690093.69,
February 2027,,$,59120855.23,,,$,54804325.24,
March 2027,,$,57135010.23,,,$,52954080.38,
April 2027,,$,55186627.68,,,$,51139196.98,
May 2027,,$,53275523.80,,,$,49359482.98,
June 2027,,$,51401686.03,,,$,47614909.14,
July 2027,,$,49564832.41,,,$,45905186.99,
August 2027,,$,47764654.98,,,$,44230003.70,
September 2027,,$,46001130.87,,,$,42589321.48,
October 2027,,$,44274233.39,,,$,40983101.63,
November 2027,,$,42584160.54,,,$,39411519.50,
December 2027,,$,40931013.12,,,$,37874658.49,
January 2028,,$,39314374.12,,,$,36372116.88,
February 2028,,$,37734128.46,,,$,34903775.18,
March 2028,,$,36190358.42,,,$,33469700.15,
April 2028,,$,34682767.50,,,$,32069601.98,
May 2028,,$,33210987.96,,,$,30703124.38,
June 2028,,$,31774697.74,,,$,29369953.20,
July 2028,,$,30372827.77,,,$,28069076.06,
August 2028,,$,29004081.24,,,$,26799268.54,
September 2028,,$,27667914.99,,,$,25560012.55,
October 2028,,$,26364450.24,,,$,24351413.80,
November 2028,,$,25093447.31,,,$,23173233.10,
December 2028,,$,23854344.24,,,$,22024924.98,
January 2029,,$,22647353.15,,,$,20906679.06,
February 2029,,$,21472727.08,,,$,19818722.81,
March 2029,,$,20330593.62,,,$,18761162.52,
April 2029,,$,19221171.96,,,$,17734190.95,
May 2029,,$,18144280.31,,,$,16737617.38,
June 2029,,$,17099355.32,,,$,15770886.16,
July 2029,,$,16086348.90,,,$,14833933.88,
August 2029,,$,15104403.61,,,$,13925922.64,
September 2029,,$,14153259.53,,,$,13046585.78,
October 2029,,$,13233248.56,,,$,12196222.82,
