0,1,2,3,4,5,6,7,8,9,10
,,,,,,,,,,
Payment Date,,1.00%,,1.50%,,1.75%,,2.00%,,2.50%
Closing Date,,100%,,100%,,100%,,100%,,100%
"May 15, 2024",,100%,,100%,,100%,,100%,,100%
"June 15, 2024",,100%,,100%,,100%,,100%,,100%
"July 15, 2024",,100%,,100%,,100%,,100%,,100%
"August 15, 2024",,100%,,100%,,100%,,100%,,100%
"September 15, 2024",,100%,,100%,,100%,,100%,,100%
"October 15, 2024",,100%,,100%,,100%,,100%,,100%
"November 15, 2024",,100%,,100%,,100%,,100%,,100%
"December 15, 2024",,100%,,100%,,100%,,100%,,100%
"January 15, 2025",,100%,,100%,,100%,,100%,,100%
"February 15, 2025",,100%,,100%,,100%,,100%,,100%
"March 15, 2025",,100%,,100%,,100%,,100%,,100%
"April 15, 2025",,100%,,100%,,100%,,100%,,100%
"May 15, 2025",,100%,,100%,,100%,,100%,,100%
"June 15, 2025",,100%,,100%,,100%,,100%,,100%
"July 15, 2025",,100%,,100%,,100%,,100%,,100%
"August 15, 2025",,100%,,100%,,100%,,100%,,100%
"September 15, 2025",,100%,,100%,,100%,,100%,,100%
"October 15, 2025",,100%,,100%,,100%,,100%,,100%
"November 15, 2025",,100%,,100%,,100%,,100%,,100%
"December 15, 2025",,100%,,100%,,100%,,100%,,100%
"January 15, 2026",,100%,,100%,,100%,,100%,,100%
"February 15, 2026",,100%,,100%,,100%,,100%,,100%
"March 15, 2026",,100%,,100%,,100%,,100%,,100%
"April 15, 2026",,100%,,100%,,100%,,100%,,100%
"May 15, 2026",,100%,,100%,,100%,,100%,,100%
"June 15, 2026",,100%,,100%,,100%,,100%,,100%
"July 15, 2026",,100%,,100%,,100%,,100%,,100%
"August 15, 2026",,100%,,100%,,100%,,100%,,88%
"September 15, 2026",,100%,,100%,,100%,,100%,,74%
"October 15, 2026",,100%,,100%,,100%,,100%,,60%
"November 15, 2026",,100%,,100%,,100%,,100%,,44%
"December 15, 2026",,100%,,100%,,100%,,100%,,28%
"January 15, 2027",,100%,,100%,,100%,,96%,,13%
"February 15, 2027",,100%,,100%,,100%,,85%,,0%
"March 15, 2027",,100%,,100%,,100%,,74%,,0%
"April 15, 2027",,100%,,100%,,100%,,63%,,0%
"May 15, 2027",,100%,,100%,,91%,,51%,,0%
"June 15, 2027",,100%,,100%,,81%,,39%,,0%
"July 15, 2027",,100%,,100%,,71%,,27%,,0%
"August 15, 2027",,100%,,100%,,62%,,15%,,0%
"September 15, 2027",,100%,,91%,,51%,,0%,,0%
"October 15, 2027",,100%,,82%,,40%,,0%,,0%
"November 15, 2027",,100%,,74%,,30%,,0%,,0%
"December 15, 2027",,100%,,65%,,20%,,0%,,0%
"January 15, 2028",,100%,,56%,,10%,,0%,,0%
"February 15, 2028",,100%,,46%,,0%,,0%,,0%
"March 15, 2028",,100%,,37%,,0%,,0%,,0%
"April 15, 2028",,100%,,28%,,0%,,0%,,0%
"May 15, 2028",,97%,,19%,,0%,,0%,,0%
"June 15, 2028",,89%,,10%,,0%,,0%,,0%
"July 15, 2028",,81%,,0%,,0%,,0%,,0%
"August 15, 2028",,73%,,0%,,0%,,0%,,0%
