0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,,,,,,,,,,,,,,,,
,,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,,Class B Notes,Class B Notes,Class B Notes,Class B Notes,Class B Notes,Class B Notes,Class B Notes
Distribution Date,,0.50%,,1.00%,,1.50%,,2.00%,,0.50%,,1.00%,,1.50%,,2.00%
Closing Date,,100%,,100%,,100%,,100%,,100%,,100%,,100%,,100%
April 2025,,100%,,100%,,100%,,100%,,100%,,100%,,100%,,100%
May 2025,,100%,,100%,,100%,,100%,,100%,,100%,,100%,,100%
June 2025,,100%,,100%,,100%,,100%,,100%,,100%,,100%,,100%
July 2025,,100%,,100%,,100%,,100%,,100%,,100%,,100%,,100%
August 2025,,100%,,100%,,100%,,100%,,100%,,100%,,100%,,100%
September 2025,,100%,,100%,,100%,,100%,,100%,,100%,,100%,,100%
October 2025,,100%,,100%,,100%,,100%,,100%,,100%,,100%,,100%
November 2025,,100%,,100%,,100%,,100%,,100%,,100%,,100%,,100%
December 2025,,100%,,100%,,100%,,100%,,100%,,100%,,100%,,100%
January 2026,,100%,,100%,,100%,,100%,,100%,,100%,,100%,,100%
February 2026,,100%,,100%,,100%,,100%,,100%,,100%,,100%,,100%
March 2026,,100%,,100%,,100%,,100%,,100%,,100%,,100%,,100%
April 2026,,100%,,100%,,100%,,100%,,100%,,100%,,100%,,100%
May 2026,,100%,,100%,,100%,,100%,,100%,,100%,,100%,,100%
June 2026,,100%,,100%,,100%,,100%,,100%,,100%,,100%,,100%
July 2026,,100%,,100%,,100%,,90%,,100%,,100%,,100%,,100%
August 2026,,100%,,100%,,100%,,79%,,100%,,100%,,100%,,100%
September 2026,,100%,,100%,,100%,,67%,,100%,,100%,,100%,,100%
October 2026,,100%,,100%,,98%,,56%,,100%,,100%,,100%,,100%
November 2026,,100%,,100%,,89%,,45%,,100%,,100%,,100%,,100%
December 2026,,100%,,100%,,79%,,35%,,100%,,100%,,100%,,100%
January 2027,,100%,,100%,,70%,,25%,,100%,,100%,,100%,,100%
February 2027,,100%,,100%,,61%,,15%,,100%,,100%,,100%,,100%
March 2027,,100%,,95%,,52%,,5%,,100%,,100%,,100%,,100%
April 2027,,100%,,87%,,43%,,0%,,100%,,100%,,100%,,87%
May 2027,,100%,,80%,,35%,,0%,,100%,,100%,,100%,,61%
June 2027,,100%,,72%,,26%,,0%,,100%,,100%,,100%,,36%
July 2027,,100%,,64%,,18%,,0%,,100%,,100%,,100%,,11%
August 2027,,99%,,56%,,10%,,0%,,100%,,100%,,100%,,0%
September 2027,,92%,,49%,,2%,,0%,,100%,,100%,,100%,,0%
October 2027,,85%,,41%,,0%,,0%,,100%,,100%,,85%,,0%
November 2027,,78%,,34%,,0%,,0%,,100%,,100%,,64%,,0%
December 2027,,71%,,27%,,0%,,0%,,100%,,100%,,44%,,0%
January 2028,,64%,,20%,,0%,,0%,,100%,,100%,,24%,,0%
February 2028,,56%,,13%,,0%,,0%,,100%,,100%,,5%,,0%
March 2028,,49%,,6%,,0%,,0%,,100%,,100%,,0%,,0%
April 2028,,42%,,0%,,0%,,0%,,100%,,99%,,0%,,0%
May 2028,,35%,,0%,,0%,,0%,,100%,,80%,,0%,,0%
June 2028,,28%,,0%,,0%,,0%,,100%,,61%,,0%,,0%
July 2028,,21%,,0%,,0%,,0%,,100%,,43%,,0%,,0%
August 2028,,14%,,0%,,0%,,0%,,100%,,25%,,0%,,0%
September 2028,,7%,,0%,,0%,,0%,,100%,,7%,,0%,,0%
October 2028,,0%,,0%,,0%,,0%,,100%,,0%,,0%,,0%
November 2028,,0%,,0%,,0%,,0%,,81%,,0%,,0%,,0%
December 2028,,0%,,0%,,0%,,0%,,63%,,0%,,0%,,0%
January 2029,,0%,,0%,,0%,,0%,,45%,,0%,,0%,,0%
February 2029,,0%,,0%,,0%,,0%,,26%,,0%,,0%,,0%
March 2029,,0%,,0%,,0%,,0%,,8%,,0%,,0%,,0%
April 2029,,0%,,0%,,0%,,0%,,0%,,0%,,0%,,0%
,,,,,,,,,,,,,,,,
Weighted Average Life (In Years) to Call,,3.00,,2.51,,2.04,,1.65,,3.82,,3.31,,2.74,,2.22
Weighted Average Life (In Years) to Maturity,,3.00,,2.51,,2.04,,1.65,,3.82,,3.31,,2.74,,2.22
