0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,,,Initial  Principal  Amount(2),Initial  Principal  Amount(2),,,Initial  Offered  Amount(3),Initial  Offered  Amount(3),,,Interest  Rate(4),,Final Scheduled  Payment Date,,Expected Final  Payment Date
Class A-1 Notes,,,$,400000000,,,$,380000000,,,·%,,"May 17, 2027",,"December 15, 2026"
Class A-2a Notes(2) Class A-2b Notes(2),},,$,550000000,,,$,522500000,,,·% SOFR Rate +·%,,"December 15, 2028 December 15, 2028",,"December 15, 2027 December 15, 2027"
Class A-3 Notes,,,$,550000000,,,$,522500000,,,·%,,"November 15, 2030",,"July 16, 2029"
Class A-4 Notes,,,$,78950000,,,$,75000000,,,·%,,"August 16, 2032",,"July 16, 2029"
Total,,,$,1578950000,,,$,1500000000,,,,,,,
