0,1,2,3
Class of Certificates,Low Estimate of  Fair Value (Based on High Estimate of Discount Yield),Base Case Estimate  of Fair Value,High Estimate of  Fair Value (Based on Low Estimate of Discount Yield)
Class A-1,"$15,259,622","$15,259,768","$15,259,714"
Class A-SB,"$20,758,125","$20,757,518","$20,757,865"
Class A-4(1),"$151,491,715","$151,497,373","$151,492,144"
Class A-5(1),"$231,778,329","$231,768,408","$231,774,248"
Class X-A,"$14,705,994","$29,031,078","$40,647,234"
Class X-B,"$331,972","$3,174,468","$6,777,833"
Class A-S,"$46,048,262","$46,047,026","$46,047,212"
Class B,"$31,035,671","$31,706,164","$31,704,347"
Class C,"$23,446,615","$24,187,234","$24,187,038"
Class X-D(2),"$2,907,679","$2,704,794","$2,529,928"
Class D(2),"$13,267,707","$12,567,733","$11,931,164"
Class E-RR(3),"$5,063,532","$5,999,960","$6,766,363"
Class F-RR,"$4,545,189","$4,545,189","$4,545,189"
Class G-RR,"$5,303,324","$5,303,324","$5,303,324"
Class H-RR,"$14,377,864","$14,377,864","$14,377,864"
Class V,$0,$0,$0
Total,"$580,321,599","$598,927,901","$614,101,467"
