0,1,2,3,4,5,6,7,8,9
Tenant Summary(1),Tenant Summary(1),Tenant Summary(1),Tenant Summary(1),Tenant Summary(1),Tenant Summary(1),Tenant Summary(1),Tenant Summary(1),Tenant Summary(1),Tenant Summary(1)
Tenant Name,Credit Rating (Moody’s/ Fitch/S&P)(2),Tenant SF,Approx. % of SF,Annual UW Rent,% of Total Annual UW Rent,Annual UW Rent PSF,Lease Exp.,Renewal Options,Term. Option (Y/N)
Major Tenants,,,,,,,,,
Wacoal America,NR/NR/NR,55032,17.9%,"$3,826,287",22.2%,$69.53,4/30/2029,1 x 5 yr,N
Regus,NR/BBB/NR,36728,11.9%,"$1,678,684",9.8%,$45.71,2/28/2031,N,N
DDC,NR/NR/NR,27948,9.1%,"$1,449,459",8.4%,$51.86,6/30/2035,N,N
Syracuse University,Aa3/NR/AA-,20343,6.6%,"$1,368,593",8.0%,$67.28,11/30/2028,1 x 5 yr,N
Jupiter Entertainment North,NR/NR/NR,20323,6.6%,"$1,530,440",8.9%,$75.31,7/31/2027,1 x 5 yr,N
Bernhardt Furniture Co.,NR/NR/NR,20323,6.6%,"$1,296,117",7.5%,$63.78,1/31/2032,1 x 5 yr,N
"Lacoste USA, Inc.",NR/NR/NR,18384,6.0%,"$1,195,864",7.0%,$65.05,4/30/2035,1 x 5 yr,Y(3)
ComplySci(4),NR/NR/NR,18364,6.0%,"$1,321,424",7.7%,$71.96,4/30/2030,1 x 5 yr,N
Target Corp,A2/A/A,18364,6.0%,"$1,130,749",6.6%,$61.57,2/28/2031,1 x 5 yr or  1 x 10yr,N
Peter Pennoyer Architect PC,NR/NR/NR,18364,6.0%,"$1,070,300",6.2%,$58.28,5/31/2036,1 x 5 yr,N
Major Tenants Subtotal/Wtd. Avg.,,254173,82.4%,"$15,867,917",92.3%,$62.43,,,
Other Tenants,,17875,5.8%,"$1,329,214",7.7%,$74.36,,,
Occupied Subtotal/Wtd. Avg.,,272048,88.2%,"$17,197,131",100.0%,$63.21,,,
Vacant Space,,36239,11.8%,,,,,,
Total/Wtd. Avg.,,308287,100.0%,,,,,,
