0,1,2,3,4,5,6,7
Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,,Property Information,Property Information
Mortgage Loan Seller:,Mortgage Loan Seller:,JPMCB,JPMCB,JPMCB,,Single Asset/Portfolio:,Single Asset
,,,,,,Location:,"San Francisco, CA 94107"
Original Balance:,Original Balance:,"$25,000,000","$25,000,000","$25,000,000",,General Property Type:,Office
Cut-off Date Balance:,Cut-off Date Balance:,"$24,929,890","$24,929,890","$24,929,890",,Detailed Property Type:,CBD
% of Initial Pool Balance:,% of Initial Pool Balance:,3.5%,3.5%,3.5%,,Title Vesting:,Fee
Loan Purpose:,Loan Purpose:,Refinance,Refinance,Refinance,,Year Built/Renovated:,1911/2015
Borrower Sponsor:,Borrower Sponsor:,W5 - Brannan L.P.,W5 - Brannan L.P.,W5 - Brannan L.P.,,Size:,"137,326 SF"
Guarantor:,Guarantor:,Jung T. Wang Family Trust,Jung T. Wang Family Trust,Jung T. Wang Family Trust,,Cut-off Date Balance PSF:,$182
Mortgage Rate:,Mortgage Rate:,5.8350%,5.8350%,5.8350%,,Maturity Date Balance PSF:,$165
Note Date:,Note Date:,9/5/2025,9/5/2025,9/5/2025,,Property Manager:,"Soma Property Management, LLC"
Maturity Date:,Maturity Date:,10/1/2030,10/1/2030,10/1/2030,,Underwriting  and Financial Information,Underwriting  and Financial Information
Term to Maturity:,Term to Maturity:,60 months,60 months,60 months,,UW NOI:,"$9,648,284"
Amortization Term:,Amortization Term:,300 months,300 months,300 months,,UW NCF:,"$9,062,531"
IO Period:,IO Period:,0 months,0 months,0 months,,UW NOI Debt Yield:,38.7%
Seasoning:,Seasoning:,2 months,2 months,2 months,,UW NCF Debt Yield:,36.4%
Prepayment Provisions(1):,Prepayment Provisions(1):,"YM1(54),O(6)","YM1(54),O(6)","YM1(54),O(6)",,UW NOI Debt Yield at Maturity:,42.7%
Lockbox/Cash Mgmt Status:,Lockbox/Cash Mgmt Status:,Hard/Springing,Hard/Springing,Hard/Springing,,UW NCF DSCR:,4.76x
Additional Debt Type:,Additional Debt Type:,NAP,NAP,NAP,,Most Recent NOI:,"$9,544,618 (7/31/2025 TTM)"
Additional Debt Balance:,Additional Debt Balance:,NAP,NAP,NAP,,2nd Most Recent NOI(2):,"$9,530,634 (12/31/2024)"
Future Debt Permitted (Type):,Future Debt Permitted (Type):,No (NAP),No (NAP),No (NAP),,3rd Most Recent NOI(2):,"$7,595,826 (12/31/2023)"
,,,,,,Most Recent Occupancy:,100.0% (6/1/2025)
Reserves,Reserves,Reserves,Reserves,Reserves,,2nd Most Recent Occupancy:,100.0% (12/31/2024)
Type,Initial,Initial,Monthly,Cap,,3rd Most Recent Occupancy:,100.0% (12/31/2023)
RE Taxes:,"$19,033","$19,033","$9,517",NAP,,Appraised Value (as of)(3):,"$89,100,000 (6/4/2025)"
Insurance:,$0,$0,Springing,NAP,,Appraised Value PSF:,$649
,,,,,,Cut-off Date LTV Ratio(3):,28.0%
,,,,,,Maturity Date LTV Ratio(3):,25.4%
,,,,,,,
,,,,,,,
