0,1,2,3,4,5,6,7,8,9
Tenant Summary(1),Tenant Summary(1),Tenant Summary(1),Tenant Summary(1),Tenant Summary(1),Tenant Summary(1),Tenant Summary(1),Tenant Summary(1),Tenant Summary(1),Tenant Summary(1)
Tenant Name,Credit Rating (Moody’s/ Fitch/S&P)(2),Tenant SF,Approx. % of SF,Annual UW Rent,% of Total Annual UW Rent,Annual UW Rent PSF,Lease Exp.,Renewal Options,Term Option (Y/N)
Major Tenants,,,,,,,,,
Apple,Aaa/NR/AA+,121351,33.9%,"$5,947,662",34.7%,$49.01,4/30/2032,2 x 5 Yr,Y(3)
Amazon,A1/AA-/AA,112300,31.4%,"$6,182,671",36.1%,$55.05,Various(4),2 x 5 Yr,N
Morgan Stanley,A1/A+/A-,22775,6.4%,"$1,386,942",8.1%,$60.90,2/28/2033,2 x 5 Yr,Y(5)
"Aptiv Services US, LLC",Baa2/BBB/BBB,14488,4.0%,"$752,101",4.4%,$51.91,Various(6),1 x 5 Yr,N
Gridmatic,NR/NR/NR,12096,3.4%,"$657,539",3.8%,$54.36,12/31/2027,1 x 3 Yr,N
Major Tenants Subtotal/Wtd. Avg.,Major Tenants Subtotal/Wtd. Avg.,283010,79.1%,"$14,926,915",87.1%,$52.74,,,
Other Tenants,,38209,10.7%,"$2,203,807",12.9%,$57.68,,,
Occupied Subtotal/Wtd. Avg.,Occupied Subtotal/Wtd. Avg.,321219,89.8%,"$17,130,722",100.0%,$53.33,,,
Vacant Space,,36619,10.2%,,,,,,
Total/Wtd. Avg.,,357838,100.0%,,,,,,
