0,1,2,3,4,5
Mortgage Loan,Mortgage Loan Type,Note Name,Control Note/ Non-Control Note,Original Principal Balance,Note Holder(1)
,,Note A3-C1-C,Non-Control Note,"$2,000,000","Deutsche Bank AG, New York Branch"
,,Note A3-C2-A,Non-Control Note,"$30,000,000",BMO 2025-C13
,,Note A3-C2-B,Non-Control Note,"$11,000,000","Deutsche Bank AG, New York Branch"
,,Note A4-C1-A,Non-Control Note,"$18,750,000",BBCMS 2025-C35
,,Note A4-C1-B,Non-Control Note,"$20,250,000",Benchmark 2025-B41
,,Note A4-C1-C,Non-Control Note,"$2,000,000",WFCM 2025-C65
,,Note A4-C2-A,Non-Control Note,"$30,000,000",BMO 2025-C13
,,Note A4-C2-B,Non-Control Note,"$11,000,000",WFCM 2025-C65
,,Note A5-C1-A,Non-Control Note,"$18,750,000",BBCMS 2025-C35
,,Note A5-C1-B,Non-Control Note,"$22,250,000",WFCM 2025-C65
,,Note A5-C2,Non-Control Note,"$41,000,000",SGFC
,,Note B-1,Subordinate,"$38,280,000",BX 2025-LIFE
,,Note B-2,Subordinate,"$38,280,000",BX 2025-LIFE
,,Note B-3,Subordinate,"$38,280,000",BX 2025-LIFE
,,Note B-4,Subordinate,"$38,280,000",BX 2025-LIFE
,,Note B-5,Subordinate,"$38,280,000",BX 2025-LIFE
,,Note C-1,Subordinate,"$38,460,000",BX 2025-LIFE
,,Note C-2,Subordinate,"$38,460,000",BX 2025-LIFE
,,Note C-3,Subordinate,"$38,460,000",BX 2025-LIFE
,,Note C-4,Subordinate,"$38,460,000",BX 2025-LIFE
,,Note C-5,Subordinate,"$38,460,000",BX 2025-LIFE
,,Note D-1,Subordinate,"$18,860,000",BX 2025-LIFE
,,Note D-2,Subordinate,"$18,860,000",BX 2025-LIFE
,,Note D-3,Subordinate,"$18,860,000",BX 2025-LIFE
,,Note D-4,Subordinate,"$18,860,000",BX 2025-LIFE
,,Note D-5,Subordinate,"$18,860,000",BX 2025-LIFE
Coastal Equities Portfolio,Serviced,Note A-1-1,Control,"$55,000,000",WFCM 2025-C65
Coastal Equities Portfolio,Serviced,Note A-1-2,Non-Control,"$5,000,000",BMO 2025-C13
Coastal Equities Portfolio,Serviced,Note A-2,Non-Control,"$49,000,000",BANK 2025-BNK50
Coastal Equities Portfolio,Serviced,Note A-3,Non-Control,"$25,000,000",BBCMS 2025-C35
Coastal Equities Portfolio,Serviced,Note A-4,Non-Control,"$16,000,000",BBCMS 2025-C35
Coastal Equities Portfolio,Serviced,Note A-5-1,Non-Control,"$6,000,000",BMO 2025-C13
Coastal Equities Portfolio,Serviced,Note A-5-2,Non-Control,"$4,000,000",BBCMS 2025-C35
Washington Square,Non-Serviced,Note A-1-1,Control,"$29,100,000",BMO 2025-C12
,,Note A-1-2,Non-Control,"$10,900,000",BBCMS 2025-C35
,,Note A-1-3,Non-Control,"$15,000,000",BBCMS 2025-C35
,,Note A-1-4,Non-Control,"$15,000,000",BBCMS 2025-C35
,,Note A-1-5,Non-Control,"$15,000,000",Benchmark 2025-B41
,,Note A-1-6,Non-Control,"$10,000,000",Benchmark 2025-B41
,,Note A-1-7,Non-Control,"$10,000,000",Benchmark 2025-B41
,,Note A-1-8,Non-Control,"$8,333,334",Benchmark 2025-B41
,,Note A-2-1,Non-Control,"$17,000,000",BMO 2025-C12
,,Note A-2-2-1-A,Non-Control,"$11,450,000",Benchmark 2025-B41
,,Note A-2-2-1-B,Non-Control,"$5,100,000",WFCM 2025-C65
,,Note A-2-2-2,Non-Control,"$450,000",BMO 2025-C12
,,Note A-2-3,Non-Control,"$17,000,000",BBCMS 2025-C35
,,Note A-2-4-1,Non-Control,"$12,100,000",BBCMS 2025-C35
,,Note A-2-4-2,Non-Control,"$4,900,000",WFCM 2025-C65
,,Note A-3-1A,Non-Control,"$24,500,000",BANK 2025-BNK50
,,Note A-3-1B,Non-Control,"$15,500,000",WFCM 2025-C65
,,Note A-3-2,Non-Control,"$5,333,333",WFCM 2025-C65
,,Note A-4-1,Non-Control,"$17,450,000",BMO 2025-C12
,,Note A-4-2,Non-Control,"$12,000,000",BMO 2025-C13
,,Note A-4-3,Non-Control,"$3,550,000",Bank of Montreal
,,Note A-4-4,Non-Control,"$9,000,000",BMO 2025-C13
,,Note A-4-5,Non-Control,"$9,000,000",BMO 2025-C13
,,Note A-4-6,Non-Control,"$6,000,000",BMO 2025-C13
,,Note A-4-7,Non-Control,"$6,000,000",Bank of Montreal
