0,1,2,3,4,5,6,7,8
,,Principal  Amount(1),Principal  Amount(1),,,Principal  Amount(2),Principal  Amount(2),
Class A-1 notes,,$,300000000.00,,,$,350000000.00,
Class A-2a notes  Class A-2b notes,,},560000000.00,,,},653350000.00,
Class A-3 notes,,,560000000.00,,,,653300000.00,
Class A-4 notes,,,80000000.00,,,,93350000.00,
Class B notes,,,47370000.00,,,,55260000.00,
Class C notes,,,31570000.00,,,,36830000.00,
Residual Interest — Initial Overcollateralization,,,134791422.88,,,,157388618.95,
Subtotal — Initial Pool Balance,,$,1713731422.88,,,$,1999478618.95,
Reserve Account,,,3947365.02,,,,4605247.03,
Total,,$,1717678787.90,,,$,2004083865.98,
