0,1,2
Cash Flow Analysis(1)(2),Cash Flow Analysis(1)(2),Cash Flow Analysis(1)(2)
,UW(3),UW PSF
Rents in Place,"$4,461,214",$12.18
Vacant Income,$0,$0.00
Gross Potential Rent,"$4,461,214",$12.18
Total Reimbursements,"$1,122,705",$3.07
Gross Potential Income,"$5,583,919",$15.25
Vacancy,"($279,196)",($0.76)
Effective Gross Income,"$5,304,723",$14.48
,,
Real Estate Taxes,"$591,916",$1.62
Insurance,"$62,050",$0.17
Other Expenses,"$468,739",$1.28
Total Expenses,"$1,122,705",$3.07
,,
Net Operating Income,"$4,182,018",$11.42
Tenant Improvements,"$106,208",$0.29
Leasing Commissions,"$129,375",$0.35
Replacement Reserves,"$36,624",$0.10
Net Cash Flow,"$3,909,811",$10.68
,,
Occupancy %,95.0%(4),
NOI DSCR,1.46x,
NCF DSCR,1.37x,
NOI Debt Yield,10.6%,
NCF Debt Yield,9.9%,
