0,1,2
,,
Series 2022-4,Series 2022-4,Series 2022-4
,,
Initial Invested Amount,,"$1,042,858,000"
Class A Initial Invested Amount,,"$1,000,000,000"
Class A Certificate Rate,,3.75% per year
Class B Initial Invested Amount,,"$96,430,000"
Class B Certificate Rate,,4.95% per year
Controlled Accumulation Amount (subject to adjustment),,"$86,904,833.34"
Approximate Commencement of Controlled Accumulation Period (subject to adjustment),,"September 1, 2024"
Annual Servicing Fee Percentage,,2.0% per year
Collateral Initial Invested Amount,,"$100,001,000"
Enhancement for the Class A and Class B Certificates,,Collateral Invested Amount
Other enhancement for the Class A Certificates,,Subordination of the Class B Certificates
Expected Final Payment Date,,October 2025 Distribution Date
Series Issuance Date,,"November 3, 2022"
Principal Sharing Series,,Yes
Excess Allocation Series,,Yes
Group,,Group I
,,
Series 2023-1,Series 2023-1,Series 2023-1
,,
Initial Invested Amount,,"$1,303,572,000"
Class A Initial Invested Amount,,"$1,250,000,000"
Class A Certificate Rate,,4.87% per year
Class B Initial Invested Amount,,"$53,572,000"
Class B Certificate Rate,,5.12% per year
Controlled Accumulation Amount (subject to adjustment),,"$108,631,000"
Approximate Commencement of Controlled Accumulation Period (subject to adjustment),,"May 1, 2025"
Annual Servicing Fee Percentage,,2.0% per year
Collateral Initial Invested Amount,,"$125,001,000"
Enhancement for the Class A and Class B Certificates,,Collateral Invested Amount
Other enhancement for the Class A Certificates,,Subordination of the Class B Certificates
Expected Final Payment Date,,May 2026 Distribution Date
Series Issuance Date,,"June 14, 2023"
Principal Sharing Series,,Yes
Excess Allocation Series,,Yes
Group,,Group I
