0,1,2
Cash Flow Analysis(1),Cash Flow Analysis(1),Cash Flow Analysis(1)
,UW,UW PSF
Gross Potential Rent,"$1,131,667",$2.14
Total Recoveries,$0,$0.00
Less Vacancy & Credit Loss,$0,$0.00
Effective Gross Income,"$1,131,667",$2.14
,,
Real Estate Taxes,$0,$0.00
Insurance,$0,$0.00
Management Fee,$0,$0.00
Other Operating Expenses,$0,$0.00
Total Expenses,$0,$0.00
,,
Net Operating Income,"$1,131,667",$2.14
CapEx,$0,$0.00
TI/LC,$0,$0.00
Net Cash Flow,"$1,131,667",$2.14
,,
Occupancy %,100.0%,
NOI DSCR,1.25x,
NCF DSCR,1.25x,
NOI Debt Yield,8.4%,
NCF Debt Yield,8.4%,
