0,1,2,3,4,5,6,7,8,9
Tenant Summary(1),Tenant Summary(1),Tenant Summary(1),Tenant Summary(1),Tenant Summary(1),Tenant Summary(1),Tenant Summary(1),Tenant Summary(1),Tenant Summary(1),Tenant Summary(1)
Tenant Name,Credit Rating (Fitch/Moody's/ S&P),Tenant SF,% of Total SF,Annual UW Rent,% of Total Annual UW Rent,Annual UW Rent PSF,Lease Expiration,Term. Option (Y/N),Renewal Options
"VLSIP Technologies, Inc.",NR/NR/NR,40120,7.9%,613435,9.5%,$15.29,3/31/2026,No,
"Universal Thrive Technologies, LLC",NR/NR/NR,24000,4.7%,384000,6.0%,$16.00,5/31/2026,No,1 x 7 Years
Eurowerks,NR/NR/NR,21310,4.2%,421608,6.5%,$19.78,3/31/2030(2),No,
"Phase Dynamics, Inc.",NR/NR/NR,16130,3.2%,142462,2.2%,$8.83,9/30/2026,No,
VHQ Texas LLC,NR/NR/NR,15041,2.9%,131609,2.0%,$8.75,9/30/2026,No,2 x 2 Years
Subtotal/Wtd. Avg.,,116601,22.9%,"$1,693,114",26.3%,$14.52,,,
Other Tenants,,352444,69.1%,"$4,746,859",73.7%,,,,
Total Occupied Space,,469045,92.0%,"$6,439,972",100.0%,$13.73,,,
Vacant Space,,40869,8.0%,,,,,,
Total,,509914,100.0%,,,,,,
