0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DRIVE 2025-1,DRIVE 2025-1,,,DRIVE 2024-2,DRIVE 2024-2,,,DRIVE 2024-1,DRIVE 2024-1,,,DRIVE 2021-3,DRIVE 2021-3,,,DRIVE 2021-2,DRIVE 2021-2,,,DRIVE 2021-1,DRIVE 2021-1,,,DRIVE 2020-2,DRIVE 2020-2,,,DRIVE 2020-1,DRIVE 2020-1,
Amount Financed (% of Aggregate Principal Balance),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$0.01 - $5,000.00",,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.01,%,,,0.01,%
"$5,000.01 - $10,000.00",,,0.30,%,,,0.23,%,,,0.28,%,,,0.79,%,,,1.02,%,,,2.23,%,,,2.97,%,,,2.40,%
"$10,000.01 - $15,000.00",,,2.91,%,,,2.35,%,,,2.74,%,,,5.38,%,,,7.00,%,,,12.13,%,,,14.28,%,,,11.96,%
"$15,000.01 - $20,000.00",,,10.07,%,,,9.21,%,,,10.09,%,,,16.18,%,,,18.00,%,,,22.18,%,,,22.42,%,,,21.84,%
"$20,000.01 - $25,000.00",,,19.23,%,,,19.28,%,,,18.92,%,,,22.87,%,,,22.76,%,,,20.81,%,,,20.28,%,,,22.15,%
"$25,000.01 - $30,000.00",,,21.65,%,,,21.82,%,,,21.16,%,,,21.17,%,,,19.75,%,,,17.20,%,,,16.93,%,,,18.07,%
"$30,000.01 - $35,000.00",,,17.53,%,,,18.01,%,,,17.28,%,,,16.34,%,,,14.68,%,,,12.34,%,,,11.48,%,,,12.38,%
"$35,000.01 - $40,000.00",,,10.82,%,,,11.51,%,,,11.46,%,,,11.14,%,,,10.27,%,,,8.04,%,,,6.70,%,,,7.28,%
