0,1,2,3,4,5,6,7
Loan Name,Mortgage Loan  Cut-off Date Balance,Approx. % of Initial  Pool Balance,Approx. % of Initial  Pool Balance,Loan per SF/Unit(1),U/W NCF DSCR(1)(2),Cut-off Date  LTV Ratio(1)(2),Property Type
Mall at Prince George's,"$58,000,000",9.4,%,$112,1.70x,56.7%,Retail
City Center on 6th,"$51,500,000",8.3,%,$311,1.45x,66.9%,Retail
535 & 545 5th Avenue,"$49,946,237",8.1,%,$611,1.30x,63.2%,Mixed Use
Sunshine Lake MHC Portfolio,"$45,000,000",7.3,%,"$32,919",1.49x,58.3%,Manufactured Housing
Marriott Indianapolis North,"$42,964,607",6.9,%,"$136,396",1.59x,63.8%,Hospitality
Hampton Astoria,"$40,000,000",6.5,%,"$158,730",1.26x,64.4%,Multifamily
Bleeker Street Industrial,"$32,800,000",5.3,%,$182,1.35x,55.0%,Industrial
Del Rey Campus,"$27,500,000",4.4,%,$494,1.57x,60.4%,Office
Mountain Industrial Portfolio,"$25,000,000",4.0,%,$61,1.93x,49.8%,Industrial
1500 Post Oak Boulevard,"$25,000,000",4.0,%,$232,2.40x,50.8%,Office
The Towers at Cupertino City Center,"$25,000,000",4.0,%,$405,1.69x,63.6%,Office
The Greywood,"$23,500,000",3.8,%,"$326,389",1.31x,59.0%,Multifamily
Casa Del Rey and Las Golondrinas Apartments,"$23,000,000",3.7,%,"$214,953",1.35x,61.3%,Multifamily
ONX Industrial Campus,"$20,000,000",3.2,%,$55,1.35x,61.0%,Industrial
Burlington Crossing,"$16,750,000",2.7,%,$103,2.84x,43.5%,Retail
Top  3 Total/Weighted Average,"$159,446,237",25.7,%,,1.49x,62.0%,
Top  5 Total/Weighted Average,"$247,410,844",39.9,%,,1.51x,61.7%,
Top  15 Total/Weighted Average,"$505,960,844",81.6,%,,1.58x,59.6%,
