0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,,,,,,,,,,,,,,,,
,,Class C Notes,Class C Notes,Class C Notes,Class C Notes,Class C Notes,Class C Notes,Class C Notes,,Class D Notes,Class D Notes,Class D Notes,Class D Notes,Class D Notes,Class D Notes,Class D Notes
Distribution Date,,0.50%,,1.00%,,1.50%,,2.00%,,0.50%,,1.00%,,1.50%,,2.00%
Closing Date,,100%,,100%,,100%,,100%,,100%,,100%,,100%,,100%
April 2025,,100%,,100%,,100%,,100%,,100%,,100%,,100%,,100%
May 2025,,100%,,100%,,100%,,100%,,100%,,100%,,100%,,100%
June 2025,,100%,,100%,,100%,,100%,,100%,,100%,,100%,,100%
July 2025,,100%,,100%,,100%,,100%,,100%,,100%,,100%,,100%
August 2025,,100%,,100%,,100%,,100%,,100%,,100%,,100%,,100%
September 2025,,100%,,100%,,100%,,100%,,100%,,100%,,100%,,100%
October 2025,,100%,,100%,,100%,,100%,,100%,,100%,,100%,,100%
November 2025,,100%,,100%,,100%,,100%,,100%,,100%,,100%,,100%
December 2025,,100%,,100%,,100%,,100%,,100%,,100%,,100%,,100%
January 2026,,100%,,100%,,100%,,100%,,100%,,100%,,100%,,100%
February 2026,,100%,,100%,,100%,,100%,,100%,,100%,,100%,,100%
March 2026,,100%,,100%,,100%,,100%,,100%,,100%,,100%,,100%
April 2026,,100%,,100%,,100%,,100%,,100%,,100%,,100%,,100%
May 2026,,100%,,100%,,100%,,100%,,100%,,100%,,100%,,100%
June 2026,,100%,,100%,,100%,,100%,,100%,,100%,,100%,,100%
July 2026,,100%,,100%,,100%,,100%,,100%,,100%,,100%,,100%
August 2026,,100%,,100%,,100%,,100%,,100%,,100%,,100%,,100%
September 2026,,100%,,100%,,100%,,100%,,100%,,100%,,100%,,100%
October 2026,,100%,,100%,,100%,,100%,,100%,,100%,,100%,,100%
November 2026,,100%,,100%,,100%,,100%,,100%,,100%,,100%,,100%
December 2026,,100%,,100%,,100%,,100%,,100%,,100%,,100%,,100%
January 2027,,100%,,100%,,100%,,100%,,100%,,100%,,100%,,100%
February 2027,,100%,,100%,,100%,,100%,,100%,,100%,,100%,,100%
March 2027,,100%,,100%,,100%,,100%,,100%,,100%,,100%,,100%
April 2027,,100%,,100%,,100%,,100%,,100%,,100%,,100%,,100%
May 2027,,100%,,100%,,100%,,100%,,100%,,100%,,100%,,100%
June 2027,,100%,,100%,,100%,,100%,,100%,,100%,,100%,,100%
July 2027,,100%,,100%,,100%,,100%,,100%,,100%,,100%,,100%
August 2027,,100%,,100%,,100%,,88%,,100%,,100%,,100%,,100%
September 2027,,100%,,100%,,100%,,67%,,100%,,100%,,100%,,100%
October 2027,,100%,,100%,,100%,,47%,,100%,,100%,,100%,,100%
November 2027,,100%,,100%,,100%,,27%,,100%,,100%,,100%,,100%
December 2027,,100%,,100%,,100%,,9%,,100%,,100%,,100%,,100%
January 2028,,100%,,100%,,100%,,0%,,100%,,100%,,100%,,92%
February 2028,,100%,,100%,,100%,,0%,,100%,,100%,,100%,,77%
March 2028,,100%,,100%,,87%,,0%,,100%,,100%,,100%,,0%
April 2028,,100%,,100%,,70%,,0%,,100%,,100%,,100%,,0%
May 2028,,100%,,100%,,54%,,0%,,100%,,100%,,100%,,0%
June 2028,,100%,,100%,,38%,,0%,,100%,,100%,,100%,,0%
July 2028,,100%,,100%,,23%,,0%,,100%,,100%,,100%,,0%
August 2028,,100%,,100%,,8%,,0%,,100%,,100%,,100%,,0%
September 2028,,100%,,100%,,0%,,0%,,100%,,100%,,95%,,0%
October 2028,,100%,,90%,,0%,,0%,,100%,,100%,,83%,,0%
November 2028,,100%,,75%,,0%,,0%,,100%,,100%,,0%,,0%
December 2028,,100%,,61%,,0%,,0%,,100%,,100%,,0%,,0%
January 2029,,100%,,46%,,0%,,0%,,100%,,100%,,0%,,0%
February 2029,,100%,,32%,,0%,,0%,,100%,,100%,,0%,,0%
March 2029,,100%,,18%,,0%,,0%,,100%,,100%,,0%,,0%
April 2029,,90%,,5%,,0%,,0%,,100%,,100%,,0%,,0%
May 2029,,73%,,0%,,0%,,0%,,100%,,93%,,0%,,0%
June 2029,,56%,,0%,,0%,,0%,,100%,,81%,,0%,,0%
July 2029,,38%,,0%,,0%,,0%,,100%,,0%,,0%,,0%
August 2029,,21%,,0%,,0%,,0%,,100%,,0%,,0%,,0%
September 2029,,4%,,0%,,0%,,0%,,100%,,0%,,0%,,0%
October 2029,,0%,,0%,,0%,,0%,,89%,,0%,,0%,,0%
November 2029,,0%,,0%,,0%,,0%,,0%,,0%,,0%,,0%
,,,,,,,,,,,,,,,,
Weighted Average Life (In Years) to Call,,4.29,,3.83,,3.20,,2.58,,4.63,,4.28,,3.62,,2.94
Weighted Average Life (In Years) to Maturity,,4.29,,3.83,,3.20,,2.58,,4.88,,4.52,,3.88,,3.09
