0,1,2,3,4
Mortgage Loan  Name,Certificate Administrator,Custodian,Operating Advisor,Initial Directing  Party
Sheraton Denver Downtown Hotel,"Computershare Trust Company, National Association","Computershare Trust Company, National Association",Pentalpha Surveillance LLC,"RREF V - D AIV RR L, LLC"
U-Haul AREC RW Portfolio,"Citibank, N.A.","Citibank, N.A.",Park Bridge Lender Services LLC,"RREF V - D AIV RR H, LLC"
255 Greenwich,"Computershare Trust Company, National Association","Computershare Trust Company, National Association",Pentalpha Surveillance LLC,"RREF V - D AIV RR L, LLC"
Ellenton Premium Outlets,"Computershare Trust Company, National Association","Computershare Trust Company, National Association",Pentalpha Surveillance LLC,"RREF V - D AIV RR L, LLC"
Brandywine Regency Warehouse & Distribution Center,"Computershare Trust Company, National Association","Computershare Trust Company, National Association",Park Bridge Lender Services LLC,"LNR Securities Holdings, LLC"
Birch Run Premium Outlets,"Citibank, N.A.","Citibank, N.A.",Park Bridge Lender Services LLC,"RREF V - D AIV RR H, LLC"
Houston Multifamily Portfolio,"Citibank, N.A.","Citibank, N.A.",Park Bridge Lender Services LLC,"RREF V - D AIV RR H, LLC"
Landstown Commons,"Citibank, N.A.","Citibank, N.A.",Park Bridge Lender Services LLC,"RREF V - D AIV RR H, LLC"
"Park Center Plaza I, II, III","Citibank, N.A.","Citibank, N.A.",Park Bridge Lender Services LLC,"RREF V - D AIV RR H, LLC"
