0,1,2
,,
Series 2022-3,Series 2022-3,Series 2022-3
Initial Invested Amount,,"$2,571,435,000"
Class A Initial Invested Amount,,"$2,250,000,000"
Class A Certificate Rate,,3.75% per year
Class B Initial Invested Amount,,"$96,430,000"
Class B Certificate Rate,,4.07% per year
Controlled Accumulation Amount (subject to adjustment),,"$195,535,833.34"
Approximate Commencement of Controlled Accumulation Period (subject to adjustment),,"August 1, 2024"
Annual Servicing Fee Percentage,,2.0% per year
Collateral Initial Invested Amount,,"$225,005,000"
Enhancement for the Class A and Class B Certificates,,Collateral Invested Amount
Other enhancement for the Class A Certificates,,Subordination of the Class B Certificates
Expected Final Payment Date,,August 2025 Distribution Date
Series Issuance Date,,"August 16, 2022"
Principal Sharing Series,,Yes
Excess Allocation Series,,Yes
Group,,Group I
