0,1,2,3,4,5,6,7,8
,,,,,,,,
,,AART 2019-4,AART 2019-4,,,AART 2024-2,AART 2024-2,
Weighted Average APR,,,6.63,%,,,9.89,%
Aggregate Amount Financed,,$,1050522784.44,,,$,1114879158.52,
Number of Contracts in Pool,,,66361,,,,61802,
Average Amount Financed,,$,15830.42,,,$,18039.53,
Weighted Average Original Maturity (in Months),,,66.83,,,,71.03,
Weighted Average Remaining Maturity (in Months),,,52.95,,,,54.11,
Percentage of Receivables with Original Maturities > 60 Months,,,67.60,%,,,79.46,%
Percentage of New Vehicles,,,70.00,%,,,40.34,%
Percentage of Non-Subvented Receivables,,,99.07,%,,,99.96,%
Weighted Average FICO Score,,,740.76,,,,734.76,
Weighted Average Loan-to-Value,,,94.28,,,,94.29,
Cutoff Date,,,"November 1, 2019",,,,"August 1, 2024",
