0,1,2,3,4,5,6,7,8
,,,,,,,,
,,AART 2022-2,AART 2022-2,,,AART 2024-2,AART 2024-2,
Weighted Average APR,,,6.55,%,,,9.89,%
Aggregate Amount Financed,,$,1112887614.32,,,$,1114879158.52,
Number of Contracts in Pool,,,59250,,,,61802,
Average Amount Financed,,$,18782.91,,,$,18039.53,
Weighted Average Original Maturity (in Months),,,69.41,,,,71.03,
Weighted Average Remaining Maturity (in Months),,,55.00,,,,54.11,
Percentage of Receivables with Original Maturities > 60 Months,,,77.77,%,,,79.46,%
Percentage of New Vehicles,,,50.01,%,,,40.34,%
Percentage of Non-Subvented Receivables,,,98.72,%,,,99.96,%
Weighted Average FICO Score,,,729.59,,,,734.76,
Weighted Average Loan-to-Value,,,93.57,,,,94.29,
Cutoff Date,,,"September 1, 2022",,,,"August 1, 2024",
