0,1,2,3,4,5,6,7,8,9
Tenant Summary(1),Tenant Summary(1),Tenant Summary(1),Tenant Summary(1),Tenant Summary(1),Tenant Summary(1),Tenant Summary(1),Tenant Summary(1),Tenant Summary(1),Tenant Summary(1)
Tenant Name,Credit Rating (Fitch/Moody's/ S&P)(2),Tenant SF,Approx. % of SF,Annual UW Rent(3),% of Total Annual UW Rent(3),Annual UW Rent PSF,Lease Expiration,Termination Option (Y/N),Renewal Options
,,,,,,,,,
Cobb Industrial Inc.,NR/NR/NR,124898,32.2%,"$1,762,265",34.5%,$14.11,Various(4),No,Various(4)
Impact Partnerships,NR/NR/NR,45500,11.7%,"$603,387",11.8%,$13.26,9/30/2037,No,1 x 7 years
Sunbelt Rentals Inc.,BBB/Baa3/BBB-,43116,11.1%,"$553,422",10.8%,$12.84,Various(5),No,Various(5)
Mountain Motorsports,NR/NR/NR,38500,9.9%,"$470,855",9.2%,$12.23,3/31/2031,No,1 x 10.2 years
Ferguson Enterprises LLC,NR/Baa1/BBB+,23800,6.1%,"$339,150",6.6%,$14.25,11/30/2035,Yes(6),2 x 3 years
Subtotal/Wtd. Avg.,,275814,71.2%,"$3,729,079",73.0%,$13.52,,,
Other Tenants,,100049,25.8%,"$1,382,300",27.0%,$13.82,,,
Total Occupied Space,,375863,97.0%,"$5,111,379",100.0%,$13.60,,,
Vacant Space,,11760,3.0%,,,,,,
Total,,387623,100.0%,,,,,,
