0,1,2,3,4,5,6
Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,,Property Information,Property Information
Mortgage Loan Seller:,WFB,WFB,WFB,,Single Asset/Portfolio:,Single Asset
,,,,,Location:,"Blue Ridge, GA 30513"
Original Balance:,"$16,500,000","$16,500,000","$16,500,000",,General Property Type:,Hospitality
Cut-off Date Balance:,"$16,460,013","$16,460,013","$16,460,013",,Detailed Property Type:,Limited Service
% of Initial Pool Balance:,2.4%,2.4%,2.4%,,Title Vesting:,Fee
Loan Purpose:,Refinance,Refinance,Refinance,,Year Built/Renovated:,2021/NAP
Borrower Sponsors:,"Thomas John Huegel, Andrew Hibbard and","Thomas John Huegel, Andrew Hibbard and","Thomas John Huegel, Andrew Hibbard and",,Size:,109 Rooms
,Hiten Patel,Hiten Patel,Hiten Patel,,Cut-off Date Balance per Room:,"$151,009"
Guarantors,"Thomas John Huegel, Andrew Hibbard and","Thomas John Huegel, Andrew Hibbard and","Thomas John Huegel, Andrew Hibbard and",,Maturity Date Balance per Room: Room:,"$130,115"
,Hiten Patel,Hiten Patel,Hiten Patel,,Property Manager:,Vision Hospitality
Mortgage Rate:,6.3970%,6.3970%,6.3970%,,,"Management, LLC"
Note Date:,7/11/2025,7/11/2025,7/11/2025,,,
Maturity Date:,7/11/2035,7/11/2035,7/11/2035,,Underwriting and Financial Information,Underwriting and Financial Information
Original Term to Maturity:,120 months,120 months,120 months,,UW NOI:,"$2,955,944"
Original Amortization Term:,360 months,360 months,360 months,,UW NCF,"$2,675,236"
IO Period:,0 months,0 months,0 months,,UW NOI Debt Yield:,18.0%
Seasoning:,3 months,3 months,3 months,,UW NCF Debt Yield:,16.3%
Prepayment Provisions:,"L(27),D(86),O(7)","L(27),D(86),O(7)","L(27),D(86),O(7)",,UW NOI Debt Yield at Maturity:,20.8%
Lockbox/Cash Mgmt Status:,Springing/Springing,Springing/Springing,Springing/Springing,,UW NCF DSCR:,2.16x
Additional Debt Type:,NAP,NAP,NAP,,Most Recent NOI:,"$3,035,701 (4/30/2025 TTM)"
Additional Debt Balance:,NAP,NAP,NAP,,2nd Most Recent NO):,"$2,915,947 (12/31/2024)"
Future Debt Permitted (Type):,No (NAP),No (NAP),No (NAP),,3rd Most Recent NOI:,"$2,566,383 (12/31/2023)"
Reserves,Reserves,Reserves,Reserves,,Most Recent Occupancy:,72.1% (4/30/2025 TTM)
Type,Initial,Monthly,Cap,,2nd Most Recent Occupancy:,70.5% (12/31/2024)
Taxes:,"$25,004","$3,572",NAP,,3rd Most Recent Occupancy:,69.5% (12/31/2023)
Insurance:,$0,Springing(1),NAP,,Appraised Value (as of):,"$29,800,000 (4/3/2025)"
FF&E Reserve:,$0,"$23,392",NAP,,Appraised Value per Room:,"$273,394"
PIP Reserve:,$0,Springing(2),NAP,,Cut-off Date LTV Ratio:,55.2%
,,,,,Maturity Date LTV Ratio:,47.6%
,,,,,,
