0,1,2,3,4,5,6
Loan Name,Mortgage Loan  Cut-off Date Balance,Approx. % of Initial  Pool Balance,Loan per SF/Unit(1),U/W NCF DSCR(1),Cut-off Date  LTV Ratio(1),Property Type
NOVA Retail 2-Pack,"$58,000,000",9.9%,$196,1.39x,70.3%,Retail
Marriott Anchorage Downtown,"$57,932,483",9.9%,"$318,506",1.77x,57.5%,Hospitality
Sheraton Denver Downtown Hotel,"$55,000,000",9.4%,$940,1.29x,76.6%,Leased Fee
50 West 23rd Street,"$53,000,000",9.0%,$250,2.18x,39.9%,Office
Domain at Town Centre,"$35,805,000",6.1%,"$39,260",1.90x,54.9%,Multifamily
U-Haul AREC RW Portfolio,"$34,733,694",5.9%,$141,1.40x,51.8%,Self Storage
1688 Meridian Avenue,"$28,750,000",4.9%,$330,1.53x,52.2%,Office
255 Greenwich,"$27,000,000",4.6%,$235,1.90x,52.5%,Office
Air Depot Industrial,"$24,500,000",4.2%,$56,1.77x,62.5%,Industrial
Ellenton Premium Outlets,"$18,000,000",3.1%,$251,2.31x,60.6%,Retail
Security Public Storage - Palm Desert,"$16,500,000",2.8%,$106,1.33x,60.0%,Self Storage
Brandywine Regency Warehouse & Distribution Center,"$15,918,416",2.7%,$121,1.27x,54.7%,Industrial
Birch Run Premium Outlets,"$15,000,000",2.6%,$152,1.92x,56.7%,Retail
Greenwich Portfolio,"$13,700,000",2.3%,$398,1.37x,62.6%,Mixed Use
Juneau Ave Portfolio,"$13,401,535",2.3%,"$111,679",1.34x,62.6%,Multifamily
Top  3 Total/Weighted Average,"$170,932,483",29.2%,,1.49x,68.0%,
Top  5 Total/Weighted Average,"$259,737,483",44.3%,,1.69x,60.5%,
Top  10 Total/Weighted Average,"$392,721,178",67.0%,,1.70x,58.7%,
Top  15 Total/Weighted Average,"$467,241,128",79.7%,,1.66x,58.7%,
