0,1,2,3
Contacts,Contacts,Contacts,Contacts
Role,Party  and Contact Information,Party  and Contact Information,Party  and Contact Information
Depositor,"Wells  Fargo Commercial Mortgage Securities, Inc.",,
,Attention: A.J.  Sfarra,,cmbsnotices@wellsfargo.com
,"30 Hudson  Yards, 15th Floor | New York, NY 10001 | United States","30 Hudson  Yards, 15th Floor | New York, NY 10001 | United States","30 Hudson  Yards, 15th Floor | New York, NY 10001 | United States"
Certificate Administrator,"Computershare Trust  Company, N.A.",,
,Corporate Trust  Services (CMBS),,cctcmbsbondadmin@computershare.com;  trustadministrationgroup@computershare.com
,"9062  Old Annapolis Road | Columbia, MD 21045 | United States","9062  Old Annapolis Road | Columbia, MD 21045 | United States","9062  Old Annapolis Road | Columbia, MD 21045 | United States"
Master Servicer,Trimont LLC,,
,Attention: CMBS  Servicing,,commercial.servicing@trimont.com
,"One  South, 101 South Tryon Street, Suite 1400 | Charlotte, NC 28280 | United States","One  South, 101 South Tryon Street, Suite 1400 | Charlotte, NC 28280 | United States","One  South, 101 South Tryon Street, Suite 1400 | Charlotte, NC 28280 | United States"
Trustee,Deutsche Bank National  Trust Company,,
,Attention: Trust  Administration,,cmbsadmin@list.db.com
,"1761  East St. Andrew Place | Santa Ana, CA 92705 | United States","1761  East St. Andrew Place | Santa Ana, CA 92705 | United States","1761  East St. Andrew Place | Santa Ana, CA 92705 | United States"
Special Servicer,"LNR Partners, LLC",,
,Attention: Heather  Bennett and Arnold Shulkin,,hbennett@starwood.com;  AShulkin@lnrpartners.com; lnr.cmbs.notices@lnrproperty.com
,"2340  Collins Avenue, Suite 700 | Miami Beach, FL 33139 | United States","2340  Collins Avenue, Suite 700 | Miami Beach, FL 33139 | United States","2340  Collins Avenue, Suite 700 | Miami Beach, FL 33139 | United States"
Operating Advisor  & Asset Representations Reviewer,"BellOak, LLC",,
,Attention: Reporting,,Reporting@belloakadvisors.com
,"200  N. Pacific Coast Highway, Suite 1400 | El Segundo, CA 90245 | United States","200  N. Pacific Coast Highway, Suite 1400 | El Segundo, CA 90245 | United States","200  N. Pacific Coast Highway, Suite 1400 | El Segundo, CA 90245 | United States"
