0,1,2,3,4,5,6,7,8
Rivercrest Walmart Shadow Anchored Portfolio Properties Summary,Rivercrest Walmart Shadow Anchored Portfolio Properties Summary,Rivercrest Walmart Shadow Anchored Portfolio Properties Summary,Rivercrest Walmart Shadow Anchored Portfolio Properties Summary,Rivercrest Walmart Shadow Anchored Portfolio Properties Summary,Rivercrest Walmart Shadow Anchored Portfolio Properties Summary,Rivercrest Walmart Shadow Anchored Portfolio Properties Summary,Rivercrest Walmart Shadow Anchored Portfolio Properties Summary,Rivercrest Walmart Shadow Anchored Portfolio Properties Summary
Property Name / Location,Allocated Mortgage Loan Cut-off Date Balance,% of Portfolio Cut-off Date Balance,Occupancy,Year Built/ Renovated,Net Rentable Area (SF),As-Is Appraised Value,Allocated Cut-off Date LTV,% of UW NOI
"Shoppes at Woodruff Greenville, SC","$11,200,000",27.3%,94.6%,1997/ NAP,82422,"$15,000,000",74.7%,25.4%
"Surfside Commons Surfside Beach, SC","$6,300,000",15.4%,100.0%,1996/NAP,36993,"$8,500,000",74.1%,17.3%
"East Towne Centre  Lexington, SC","$6,000,000",14.6%,100.0%,1996/ NAP,32649,"$8,300,000",72.3%,14.9%
"Plantation Plaza Georgetown, SC","$5,150,000",12.6%,100.0%,1996/NAP,31467,"$7,200,000",71.5%,12.7%
"Smithfield Plaza  Smithfield, NC","$5,000,000",12.2%,88.8%,1989/NAP,28211,"$7,000,000",71.4%,11.6%
"Sussex Plaza  Seaford, DE","$4,250,000",10.4%,100.0%,1997/ NAP,30900,"$6,000,000",70.8%,10.1%
"East Town Plaza Pocomoke City, MD","$3,100,000",7.6%,89.6%,1997/ NAP,26980,"$4,300,000",72.1%,8.1%
Total/Weighted Average,"$41,000,000",100.0%,96.2%,,269622,"$57,400,000(1)",71.4%(1),100.0%
