0,1,2
,,
,,
Series 2024-2,Series 2024-2,Series 2024-2
,,
Initial Invested Amount,,"$1,142,859,000"
Class A Initial Invested Amount,,"$1,000,000,000"
Class A Certificate Rate,,5.24% per year
Class B Initial Invested Amount,,"$42,858,000"
Class B Certificate Rate,,5.51% per year
Controlled Accumulation Amount (subject to adjustment),,"$86,904,833.34"
Approximate Commencement of Controlled Accumulation Period (subject to adjustment),,"April 1, 2028"
Annual Servicing Fee Percentage,,2.0% per year
Collateral Initial Invested Amount,,"$100,001,000"
Enhancement for the Class A and Class B Certificates,,Collateral Invested Amount
Other enhancement for the Class A Certificates,,Subordination of the Class B Certificates
Expected Final Payment Date,,April 2029 Distribution Date
Series Issuance Date,,"April 23, 2024"
Principal Sharing Series,,Yes
Excess Allocation Series,,Yes
Group,,Group I
