0,1,2,3,4,5,6,7,8
,,,,,,,,
,,AART 2019-2,AART 2019-2,,,AART 2024-2,AART 2024-2,
Weighted Average APR,,,7.00,%,,,9.89,%
Aggregate Amount Financed,,$,1120998037.60,,,$,1114879158.52,
Number of Contracts in Pool,,,66351,,,,61802,
Average Amount Financed,,$,16894.97,,,$,18039.53,
Weighted Average Original Maturity (in Months),,,66.15,,,,71.03,
Weighted Average Remaining Maturity (in Months),,,56.60,,,,54.11,
Percentage of Receivables with Original Maturities > 60 Months,,,66.85,%,,,79.46,%
Percentage of New Vehicles,,,70.00,%,,,40.34,%
Percentage of Non-Subvented Receivables,,,99.61,%,,,99.96,%
Weighted Average FICO Score,,,736.78,,,,734.76,
Weighted Average Loan-to-Value,,,93.20,,,,94.29,
Cutoff Date,,,"May 1, 2019",,,,"August 1, 2024",
