0,1,2,3,4,5,6,7
Top 10 Tenant Summary(1),Top 10 Tenant Summary(1),Top 10 Tenant Summary(1),Top 10 Tenant Summary(1),Top 10 Tenant Summary(1),Top 10 Tenant Summary(1),Top 10 Tenant Summary(1),Top 10 Tenant Summary(1)
Tenant,Credit  Rating (Fitch/Moody's/S&P)(2),Net  Rentable Area (SF),%  of Total NRA,UW  Base Rent PSF(3),UW  Base Rent(3),%  of Total UW Base Rent(3),Lease  Expiration Date
Pottery Barn,NR/NR/NR,30000,5.1%,$3.00,"$90,000",0.8%,01/31/2027(4)
Lee Wrangler,NR/Ba3/BB,23975,4.0%,$14.60,"$350,000",3.0%,01/01/2029
Old Navy,NR/Ba3/BB,19589,3.3%,$23.20,"$454,397",3.9%,07/31/2027
BRIDAL By Viper Apparel,NR/NR/NR,12856,2.2%,$5.33,"$68,467",0.6%,01/31/2027
Nike Factory Store,NR/A2/A+,12500,2.1%,$44.02,"$550,250",4.7%,01/31/2035
Polo Ralph Lauren,NR/A3/A-,12024,2.0%,$17.60,"$211,622",1.8%,08/31/2025
Gap Outlet,NR/Ba3/BB,11875,2.0%,$25.30,"$300,449",2.6%,05/31/2026
Goodwill,NR/NR/NR,10467,1.8%,$15.19,"$158,994",1.4%,07/31/2029
Shoe Dept. Encore,NR/NR/NR,10345,1.7%,$17.01,"$176,000",1.5%,01/31/2031
Under Armour,NR/B2/BB-,10011,1.7%,$75.68,"$757,632",6.4%,MTM(5)
Total/Wtd. Avg.,,153642,25.9%,$20.29,"$3,117,812",26.5%,
,,,,,,,
Other Tenants,,282913,47.6%,$30.60,"$8,657,399",73.5%,
Temporary Tenants(6),,98690,16.6%,$0.00,$0,0.0%,
,,,,,,,
Occupied Collateral Total,,535245,90.1%,$26.97(7),"$11,775,212",100.0%,
Vacant Space,,58685,9.9%,,,,
Total/Wtd. Avg.,,593930,100.0%,,,,
