0,1,2
,,
Series 2023-3,Series 2023-3,Series 2023-3
Initial Invested Amount,,"$971,433,000"
Class A Initial Invested Amount,,"$850,000,000"
Class A Certificate Rate,,5.23% per year
Class B Initial Invested Amount,,"$36,430,000"
Class B Certificate Rate,,5.52% per year
Controlled Accumulation Amount (subject to adjustment),,"$73,869,166.67"
Approximate Commencement of Controlled Accumulation Period (subject to adjustment),,"September 1, 2025"
Annual Servicing Fee Percentage,,2.0% per year
Collateral Initial Invested Amount,,"$85,003,000"
Enhancement for the Class A and Class B Certificates,,Collateral Invested Amount
Other enhancement for the Class A Certificates,,Subordination of the Class B Certificates
Expected Final Payment Date,,September 2026 Distribution Date
Series Issuance Date,,"September 19, 2023"
Principal Sharing Series,,Yes
Excess Allocation Series,,Yes
Group,,Group I
