0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
,,Class A-3,Class A-3,Class A-3,Class A-3,Class A-3,Class A-3,Class A-3,Class A-3,Class A-3,Class A-3,Class A-3,,Class A-4,Class A-4,Class A-4,Class A-4,Class A-4,Class A-4,Class A-4,Class A-4,Class A-4,Class A-4,Class A-4,
Payment Date,,0.00%,,0.50%,,1.00%,,1.30%,,1.70%,,2.00%,,0.00%,,0.50%,,1.00%,,1.30%,,1.70%,,2.00%,
Closing Date,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,
"July 15, 2024",,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,
"August 15, 2024",,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,
"September 15, 2024",,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,
"October 15, 2024",,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,
"November 15, 2024",,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,
"December 15, 2024",,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,
"January 15, 2025",,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,
"February 15, 2025",,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,
"March 15, 2025",,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,
"April 15, 2025",,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,
"May 15, 2025",,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,
"June 15, 2025",,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,
"July 15, 2025",,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,
"August 15, 2025",,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,
"September 15, 2025",,100.00,,100.00,,100.00,,100.00,,100.00,,94.75,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,
"October 15, 2025",,100.00,,100.00,,100.00,,100.00,,100.00,,86.51,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,
"November 15, 2025",,100.00,,100.00,,100.00,,100.00,,94.91,,78.53,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,
"December 15, 2025",,100.00,,100.00,,100.00,,100.00,,87.67,,70.80,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00,
