0,1,2
,,
Issuing Entity:,,American Express Credit Account Master Trust
Depositor and Transferor:,,American Express Receivables Financing Corporation III LLC
Sponsor and Originator:,,American Express National Bank
Servicer:,,"American Express Travel Related Services Company, Inc."
Trustee:,,The Bank of New York Mellon
Asset Representations Reviewer:,,Clayton Fixed Income Services LLC
Series Issuance Date:,,"July [●], 2025"
Servicing Fee Rate:,,2.0% per year
Clearance and Settlement:,,DTC/Clearstream/Euroclear
Primary Trust Assets:,,Receivables generated in a portfolio of designated consumer American Express® credit card accounts*
Group:,,Group I
Principal Sharing Series:,,Yes
Excess Allocation Series:,,Yes
