0,1,2,3,4
International  Plaza Whole Loan Summary,International  Plaza Whole Loan Summary,International  Plaza Whole Loan Summary,International  Plaza Whole Loan Summary,International  Plaza Whole Loan Summary
Note,Original  Balance,Cut-off  Date Balance,Note  Holder,Controlling  Note
A-1-1,"$225,625,000","$225,625,000",INT 2025-PLAZA,Yes
A-1-2,"$112,812,500","$112,812,500",INT 2025-PLAZA,No
A-1-3,"$112,812,500","$112,812,500",INT 2025-PLAZA,No
A-2-1,"$25,000,000","$25,000,000",BANK5 2025-5YR18,No
A-2-2,"$12,500,000","$12,500,000",BBCMS 2025-5C38,No
A-2-3,"$12,500,000","$12,500,000",BANK5 2025-5YR18,No
A-3-1(1),"$25,000,000","$25,000,000",WFB,No
A-3-2,"$12,500,000","$12,500,000",BBCMS 2025-5C38,No
A-3-3,"$12,500,000","$12,500,000",BANK5 2025-5YR18,No
Senior Loan,"$551,250,000","$551,250,000",,
B-1-1,"$11,875,000","$11,875,000",INT 2025-PLAZA,No
B-1-2,"$5,937,500","$5,937,500",INT 2025-PLAZA,No
B-1-3,"$5,937,500","$5,937,500",INT 2025-PLAZA,No
Whole Loan,"$575,000,000","$575,000,000",,
