0,1,2
Relevant Dates,,
Closing Date,,"On or about January __, 2026."
Cutoff Date,,"The issuing entity will purchase the receivables as of the close of business on November 30, 2025. The issuing entity will be entitled to all collections in respect of the  receivables received after the cutoff date."
Statistical Information,,The statistical information concerning the receivables in this prospectus is based on the receivables as of the cutoff date.
Collection Periods,,"The collection period related to a payment date is the period commencing on the first day of the calendar month immediately  preceding such payment date (or in the case of the first collection period, from, but excluding, the cutoff date) and ending on the last day of such calendar month."
Payment Dates,,"The issuing entity will generally pay interest on and principal of the notes on the 15th day of each month. If the 15th day of the month is not a business day, payments on the  notes will be made on the next business day. The date that any payment is made is called a “payment date.” The first payment date will be February 17, 2026."
,,A “business day” is any day except:
,,• a Saturday or Sunday; or
,,"• a day on which banks in New York, New York or Wilmington, Delaware are closed."
Final Scheduled Payment Dates,,The final principal payment for each class of notes is due on the related final scheduled payment date specified on the front cover of this prospectus.
Record Dates,,"So long as the notes are in book-entry form, the issuing entity will make payments on the notes to the related holders of record on the day immediately preceding the related  payment date. If the notes are issued in definitive form, the record date will be the last day of the month preceding the related payment date."
Description of the Notes,,"The class A-1 notes, the class A-2a notes, the class A-2b notes, the class A‑3 notes and the class A‑4 notes are referred to in this prospectus collectively as the “class A  notes.” The class A-2a notes and the class A-2b notes are referred to in this prospectus collectively as the “class A-2 notes.” The class A notes and the class B notes are referred to in this prospectus collectively as the “notes.”  The class B notes and approximately, but not less than, 5% (by aggregate initial principal amount) of each of the class A-2a notes, the class A-2b notes, the class A-3 notes and  the class A-4 notes will be retained initially by the depositor. Some or all, but not less than 5% (by aggregate initial principal amount), of the class A-1 notes will also be retained initially by the depositor.  The allocation of the aggregate initial principal amount of the class A-2 notes between the class A-2a notes and the class A-2b notes will be determined at the time of pricing  of the notes offered hereunder. The depositor expects that, if the aggregate initial"
