0,1,2,3,4,5,6
Market Summary,Market Summary,Market Summary,Market Summary,Market Summary,Market Summary,Market Summary
Property  Name,Location(1),Market(1),Submarket(1),UW  Rent PSF(2),Market  Rent Rate PSF(1),Submarket  Vacancy(1)
Ahoskie Commons,"Ahoskie, NC",Hertford County,Hertford County,$5.39,$5.81,4.5%
Anniston Plaza,"Anniston, AL",Anniston-Oxford,Anniston-Oxford,$5.29,$4.71,2.7%
Athens Town Center,"Athens, AL",Huntsville,Athens,$6.64,$6.15,2.9%
Boulevard Plaza,"Wilson, NC",Wilson County,Wilson County,$7.68,$6.77,3.5%
Centre Plaza,"Clinton, TN",Knoxville,Anderson County,$8.00,$8.28,1.1%
Collins Plaza,"Plant City, FL",Tampa,Eastern Outlying,$7.42,$8.05,2.2%
Cordele Corners,"Cordele, GA",Cordele,NAP,$6.02,$5.47,NAP
Cummings Park Plaza,"Burlington, NC",Burlington,Burlington,$4.92,$5.00,1.6%
Glenwood Shopping Plaza,"Oneida, NY",Syracuse,Central/East Syracuse,$7.76,$7.80,12.8%
Henderson Marketplace,"Henderson, NC",Vance/Granville,Vance/Granville,$10.97,$11.03,1.6%
Homosassa Square,"Homosassa Springs, FL",Homosassa Springs/ Citrus County,Homosassa Springs/ Citrus County,$7.37,$7.63,2.9%
Hungarybrook Shopping Center,"Henrico, VA",Richmond,Northwest,$10.95,$12.05,10.2%
Laurens Plaza,"Laurens, SC",Greenville,Laurens County,$5.92,$5.24,3.6%
Market at Riverdale Bend,"Memphis, TN",Memphis,Germantown,$5.82,$5.97,3.8%
Mattatuck Plaza,"Waterbury, CT",New Haven,New Haven North,$10.56,$10.75,14.3%
Meeting Square,"Jefferson City, TN",Morristown,Morristown,$7.09,$8.18,1.9%
Northeast Plaza,"Greensboro, NC",Greensboro/ Winston-Salem,South Guilford,$9.93,$10.17,8.4%
Northland Plaza,"Lima, OH",Lima,Lima,$5.43,$4.87,10.9%
Pelham Plaza,"Jacksonville, AL",Anniston-Oxford,Anniston-Oxford,$6.88,$6.59,2.7%
Plank Plaza,"Baton Rouge, LA",Baton Rouge,Greater Baton Rouge North,$5.37,$7.50,2.1%
Plaza North Shopping Center,"Terre Haute, IN",Terre Haute,Terre Haute,$6.53,$6.63,3.2%
Rodney Village Shopping Center,"Dover, DE",Dover,Dover,$7.73,$8.31,4.2%
Summer Commons,"Memphis, TN",Memphis,Memphis,$10.06,$13.21,3.8%
The Home Depot,"Detroit, MI",Detroit,Detroit/West Wayne,$9.48,$10.50,15.4%
Westown Square,"Cleveland, OH",Cleveland,Fairview Park,$11.59,$9.54,6.8%
Wtd. Avg.,,,,$7.56,$7.64,5.7%
