0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,,,,Initial  Principal  Amount(2),,,,Initial  Offered  Amount(3),,,Interest  Rate(4),,Final Scheduled  Payment Date,,Expected Final  Payment Date
Class A-1 Notes,,,$,432000000,,,$,410400000,,,●%,,"August 21, 2026",,"March 23, 2026"
Class A-2a Notes(5) Class A-2b Notes(5),},,$,584000000,,,$,554800000,,,●% SOFR Rate +●%,,"March 21, 2028 March 21, 2028",,"March 22, 2027 March 22, 2027"
Class A-3 Notes,,,$,584000000,,,$,554800000,,,●%,,"February 21, 2030",,"October 23, 2028"
Class A-4 Notes,,,$,84220000,,,$,80000000,,,●%,,"November 21, 2031",,"October 23, 2028"
Total,,,$,1684220000,,,$,1600000000,,,,,,,
