0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Payment Date,,,0.50%,,,,1.00%,,,,1.30%,,,,1.50%,,,,1.70%,
Closing Date,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
September 2026,,,78.67,%,,,73.58,%,,,69.82,%,,,66.28,%,,,58.18,%
October 2026,,,68.45,%,,,60.58,%,,,54.78,%,,,49.39,%,,,37.27,%
November 2026,,,58.43,%,,,47.85,%,,,40.13,%,,,33.02,%,,,17.39,%
December 2026,,,48.45,%,,,35.30,%,,,25.76,%,,,17.10,%,,,0.00,%
January 2027,,,38.50,%,,,22.91,%,,,11.69,%,,,1.63,%,,,0.00,%
February 2027,,,28.59,%,,,10.69,%,,,0.00,%,,,0.00,%,,,0.00,%
March 2027,,,18.73,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
April 2027,,,8.90,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
May 2027,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
Weighted  Average Life to Optional Purchase (years)(1),,,0.34,,,,0.26,,,,0.22,,,,0.19,,,,0.15,
Weighted  Average Life to Maturity (years)(1),,,0.34,,,,0.26,,,,0.22,,,,0.19,,,,0.15,
