0,1,2,3,4,5,6
Loan Name,Mortgage Loan  Cut-off Date Balance,Approx. % of Initial  Pool Balance,Loan per SF/Unit(1),U/W NCF DSCR(1)(3),Cut-off Date  LTV Ratio(1)(2)(3),Property Type
512 West 22nd Street,"$65,000,000",9.4%,$753,1.57x,62.4%,Office
4 Union Square South,"$60,000,000",8.7%,$588,2.42x,41.4%,Retail
Market Place Center,"$60,000,000",8.7%,$117,2.96x,50.9%,Office
BioMed MIT Portfolio,"$57,500,000",8.3%,$479(4),2.75x,35.3%,Mixed Use
Coastal Equities Portfolio,"$55,000,000",8.0%,$47,1.66x,66.9%,Retail
Hacienda Center,"$45,000,000",6.5%,$367,1.37x,61.6%,Retail
Marriott Greensboro Downtown,"$41,850,141",6.1%,"$146,843",2.00x,50.2%,Hospitality
Arapaho and Crystal Pointe Flex Portfolio,"$41,000,000",6.0%,$80,1.87x,58.4%,Industrial
Rivercrest Walmart Shadow Anchored Portfolio,"$41,000,000",6.0%,$152,1.47x,71.4%,Retail
MRN Portfolio,"$38,000,000",5.5%,$162,1.39x,67.9%,Various
Washington Square,"$30,833,333",4.5%,$342,2.07x,51.9%,Retail
The Willard & The Met,"$25,000,000",3.6%,"$195,015",1.25x,63.9%,Multifamily
CVS-Walgreens Portfolio,"$24,000,000",3.5%,$298,1.23x,67.2%,Retail
Hampton Inn Blue Ridge,"$16,460,013",2.4%,"$151,009",2.16x,55.2%,Hospitality
Deerpath Pavilion & Smithville Square,"$15,500,000",2.3%,$109,1.62x,59.6%,Retail
Top  3 Total/Weighted Average,"$185,000,000",26.9%,,2.30x,51.9%,
Top  5 Total/Weighted Average,"$297,500,000",43.2%,,2.27x,51.4%,
Top  15 Total/Weighted Average,"$616,143,487",89.4%,,1.94x,56.4%,
