0,1,2,3,4,5,6,7,8,9
Tenant Summary(1)(2),Tenant Summary(1)(2),Tenant Summary(1)(2),Tenant Summary(1)(2),Tenant Summary(1)(2),Tenant Summary(1)(2),Tenant Summary(1)(2),Tenant Summary(1)(2),Tenant Summary(1)(2),Tenant Summary(1)(2)
Tenant  Name,Credit  Rating (Fitch/Moody's/  S&P)(2),Tenant  SF,Approx.  % of SF,Annual  UW Rent,%  of Total Annual UW Rent,Annual  UW Rent PSF,Lease  Expiration,Renewal  Options,Termination Option (Y/N)
Major Tenants,,,,,,,,,
AMC Classic Columbus Park 15,NR/NR/NR,84156,14.3%,"$850,000",11.5%,$10.10,9/30/2028,3 x 5 yrs,N
Barnes and Noble,NR/NR/NR,23959,4.1%,"$467,201",6.3%,$19.50,8/31/2035,N,N
Ross Dress for Less,NR/A2/BBB+,30125,5.1%,"$437,712",5.9%,$14.53,1/31/2028,1 x 5 yrs,N
HomeGoods,NR/A2/A,24946,4.2%,"$424,082",5.7%,$17.00,10/31/2034,4 x 5 yrs,N
Burlington,NR/NR/BB+,28150,4.8%,"$380,025",5.2%,$13.50,2/28/2033,4 x 5 yrs,N
Major Tenant Subtotal/Wtd. Avg.,,191336,32.6%,"$2,559,020",34.7%,$13.37,,,
,,,,,,,,,
Non-Major Tenants,,313816,53.5%,"$4,819,144",65.3%,$15.36,,,
Occupied Collateral Subtotal/Wtd. Avg.,,505152,86.0%,"$7,378,164",100.0%,$14.61,,,
Vacant Space,,81935,14.0%,,,,,,
Total/Wtd. Avg.,,587087,100.0%,,,,,,
