0,1,2,3
Cash Flow Analysis,Cash Flow Analysis,Cash Flow Analysis,Cash Flow Analysis
,1/31/2026 T11 Ann.,UW,UW per Unit
Gross Potential Rent,"$1,529,816","$1,923,600","$16,030"
Other Income(1),"$6,281","$32,806",$273
Net Rentable Income,"$1,536,097","$1,956,406","$16,303"
(Vacancy / Credit Loss),($0),"($97,820)(2)",($815)
Effective Gross Income,"$1,536,097","$1,858,586","$15,488"
,,,
Real Estate Taxes,"$13,761","$116,594",$972
Insurance,"$41,606","$61,508",$513
Management Fee,$0,"$55,758",$465
Other Operating Expenses,"$137,233","$255,198","$2,127"
Total Operating Expenses,"$192,600","$489,057","$4,075"
,,,
Net Operating Income,"$1,343,497","$1,369,528","$11,413"
Replacement Reserves,$0,"$30,600",$255
Net Cash Flow,"$1,343,497","$1,338,928","$11,158"
,,,
Occupancy (%)(3),97.9%,95.0%,
NOI DSCR,1.34x,1.37x,
NCF DSCR,1.34x,1.34x,
NOI Debt Yield,10.0%,10.2%,
NCF Debt Yield,10.0%,10.0%,
