0,1,2
Cash  Flow Analysis(1),Cash  Flow Analysis(1),Cash  Flow Analysis(1)
,UW,UW  PSF
Gross Potential Rent,"$14,738,237",$76.99
Total Recoveries,$0,$0
Less Vacancy & Credit loss,$0,$0
Effective Gross Income,"$14,738,237",$76.99
,,
Real Estate Taxes,$0,$0.00
Insurance,$0,$0.00
Management Fee,$0,$0.00
Other Operating Expense,$0,$0.00
Total Expenses,$0,$0.00
,,
Net Operating Income,"$14,738,237",$76.99
CapEx,$0,$0
TI/LC,$0,$0
Net Cash Flow,"$14,738,237",$76.99
,,
Occupancy %,100.0%,
NOI DSCR(2),1.29x,
NCF DSCR(2),1.29x,
NOI Debt Yield(2),8.2%,
NCF Debt Yield(2),8.2%,
