0,1,2,3,4,5
Distribution Date,0% CPP,25% CPP,50% CPP,75% CPP,100% CPP
Closing Date,100%,100%,100%,100%,100%
October 2026,100%,100%,100%,100%,100%
October 2027,100%,100%,100%,100%,100%
October 2028,100%,100%,100%,100%,100%
October 2029,100%,100%,100%,100%,100%
October 2030,100%,100%,100%,100%,100%
October 2031,80%,80%,80%,80%,80%
October 2032,59%,59%,59%,59%,59%
October 2033,36%,36%,36%,36%,36%
October 2034,11%,11%,11%,11%,11%
October 2035 and thereafter,0%,0%,0%,0%,0%
Weighted Average Life (years),7.36,7.36,7.36,7.36,7.36
