0,1,2
,,
Series 2024-1*,Series 2024-1*,Series 2024-1*
Initial Invested Amount,,"$571,430,000**"
Class A Initial Invested Amount,,"$500,000,000**"
Class A Certificate Rate,,[•]% per year
Class B Initial Invested Amount,,"$21,429,000**"
Class B Certificate Rate,,[•]% per year
Controlled Accumulation Amount (subject to adjustment),,"$43,452,416.67**"
Approximate Commencement of Controlled Accumulation Period (subject to adjustment),,"April 1, 2026"
Annual Servicing Fee Percentage,,2.0% per year
Collateral Initial Invested Amount,,"$50,001,000**"
Enhancement for the Class A and Class B Certificates,,Collateral Invested Amount
Other enhancement for the Class A Certificates,,Subordination of the Class B Certificates
Expected Final Payment Date,,April 2027 Distribution Date
Series Issuance Date,,"April [•], 2024"
Principal Sharing Series,,Yes
Excess Allocation Series,,Yes
Group,,Group I
