0,1,2,3,4,5,6,7,8,9
Tenant Summary(1),Tenant Summary(1),Tenant Summary(1),Tenant Summary(1),Tenant Summary(1),Tenant Summary(1),Tenant Summary(1),Tenant Summary(1),Tenant Summary(1),Tenant Summary(1)
Tenant Name,Credit Rating (Fitch/Moody's/ S&P)(2),Tenant SF,% of Total SF,Annual UW Rent(3),% of Total Annual UW Rent(3),Annual UW Rent PSF(3),Lease Expiration,Term. Option (Y/N),Renewal Options
Federal Express Corporation,NR/Baa2/BBB,9049211,47.2%,"$74,460,309",57.2%,$8.23,Various(4),N,Various(4)
"Amazon.com Services, LLC",AA-/A1/AA,1399006,7.3%,"$10,163,266",7.8%,$7.26,Various(5),N,Various(5)
"Home Depot U.S.A., Inc.",A/A2/A,657518,3.4%,"$5,089,189",3.9%,$7.74,11/30/2040,N,4 x 5 years
"Shaw Industries, Inc.(6)",A+/Aa2/AA,831764,4.3%,"$3,776,209",2.9%,$4.54,9/30/2027,N,2 x 5 years
"ULTA Beauty Distribution, LLC",NR/NR/NR,671354,3.5%,"$2,980,812",2.3%,$4.44,7/31/2030,N,3 x 5 years
Jim Beam Brands Co.,NR/Baa1/BBB+,599840,3.1%,"$2,345,374",1.8%,$3.91,1/31/2030,N,5 x 5 years
"DSV Solutions, LLC",NR/A3/A-,368060,1.9%,"$2,278,291",1.8%,$6.19,10/31/2027,N,2 x 5 years
"Winland Foods, Inc.(7)",NR/NR/NR,558600,2.9%,"$2,273,502",1.7%,$4.07,10/31/2033,N,3 x 5 years
"Toyota Tsusho America, Inc.",NR/A3/A,350418,1.8%,"$1,766,107",1.4%,$5.04,6/30/2029,N,4 x 5 years
"Autoneum North America, Inc.",NR/NR/NR,315560,1.6%,"$1,751,358",1.3%,$5.55,4/30/2032,N,2 x 5 years
Subtotal/Wtd. Avg.,,14801331,77.1%,"$106,884,417",82.2%,$7.22,,,
Remaining Occupied,,3680714,19.2%,"$23,220,561",17.8%,$6.31,,,
Occupied Total / Wtd. Avg.,,18482045,96.3%,"$130,104,978",100.0%,$7.04,,,
Vacant Space,,707566,3.7%,,,,,,
Total,,19189611,100.0%,,,,,,
