0,1,2,3,4
Southeast  MHP Portfolio Whole Loan Summary,Southeast  MHP Portfolio Whole Loan Summary,Southeast  MHP Portfolio Whole Loan Summary,Southeast  MHP Portfolio Whole Loan Summary,Southeast  MHP Portfolio Whole Loan Summary
Note,Original  Balance,Cut-off  Date Balance,Note  Holder,Controlling  Note
A-1,"$60,000,000","$60,000,000",BANK5 2026-5YR22,Yes
A-2(1),"$50,000,000","$50,000,000",MSBNA,No
A-3,"$20,000,000","$20,000,000",BANK5 2026-5YR22,No
A-4(1),"$10,000,000","$10,000,000",MSBNA,No
A-5(1),"$10,000,000","$10,000,000",MSBNA,No
A-6(1),"$10,000,000","$10,000,000",MSBNA,No
A-7,"$5,000,000","$5,000,000",BANK5 2026-5YR22,No
Total,"$165,000,000","$165,000,000",,
