0,1,2,3,4,5,6,7
Loan Name,Mortgage  Loan Cut-off Date Balance,Approx.  % of Initial Pool Balance,Approx.  % of Initial Pool Balance,Loan per  SF/Unit/ Room(1),U/W NCF  DSCR(1),Cut-off  Date LTV Ratio(1)(2),Property  Type
St. Louis Portfolio,"$50,000,000",9.2,%,"$88,496",1.36x,67.7%,Multifamily
Westroads Mall,"$49,000,000",9.0,%,$125,2.20x,53.3%,Retail
Northwest Atlanta Industrial Portfolio,"$49,000,000",9.0,%,$126,1.46x,65.3%,Various
2020 Main Street,"$48,000,000",8.8,%,$177,1.97x,59.8%,Office
Astor Place Retail,"$36,000,000",6.6,%,"$1,298",1.20x,74.8%,Retail
Rayford's Edge Apartments,"$33,000,000",6.0,%,"$87,766",1.20x,65.4%,Multifamily
The Shops at Rockvale,"$28,250,000",5.2,%,$97,1.57x,65.9%,Retail
Frontera Crossing,"$27,600,000",5.1,%,$167,1.49x,62.0%,Office
The Towers at Cupertino City Center,"$25,000,000",4.6,%,$405,1.69x,63.6%,Office
Hamilton Place,"$25,000,000",4.6,%,$187,2.03x,67.6%,Retail
535 & 545 5th Avenue,"$19,973,118",3.7,%,$610,1.30x,63.2%,Mixed Use
Aloft Chesapeake and Fairfield Inn & Suites Williamsburg,"$18,750,000",3.4,%,"$66,021",1.80x,52.1%,Hospitality
150 Erasmus and 1520 Prospect,"$17,500,000",3.2,%,"$416,667",1.40x,67.0%,Multifamily
Palms to Pines Shopping Center,"$16,900,000",3.1,%,$211,1.31x,67.3%,Retail
Rock River Plaza,"$12,000,000",2.2,%,$31,4.87x,33.3%,Retail
Top 3 Total/Weighted  Average,"$148,000,000",27.1,%,,1.67x,62.1%,
Top 5 Total/Weighted  Average,"$232,000,000",42.5,%,,1.66x,63.6%,
Top 15 Total/Weighted  Average,"$455,973,118",83.5,%,,1.68x,63.0%,
