0,1,2,3
Contacts,Contacts,Contacts,Contacts
Role,Party  and Contact Information,Party  and Contact Information,Party  and Contact Information
Depositor,"Wells  Fargo Commercial Mortgage Securities, Inc.",,
,Attention: A.J.  Sfarra,,cmbsnotices@wellsfargo.com
,"30 Hudson  Yards, 15th Floor | New York, NY 10001 | United States","30 Hudson  Yards, 15th Floor | New York, NY 10001 | United States","30 Hudson  Yards, 15th Floor | New York, NY 10001 | United States"
Certificate Administrator,"Computershare Trust  Company, National Association",,
,Corporate Trust  Services (CMBS),,cctcmbsbondadmin@computershare.com;  trustadministrationgroup@computershare.com
,"9062  Old Annapolis Road | Columbia, MD 21045 | United States","9062  Old Annapolis Road | Columbia, MD 21045 | United States","9062  Old Annapolis Road | Columbia, MD 21045 | United States"
Master Servicer,Trimont LLC,,
,Attention: CMBS  Servicing,,commercial.servicing@trimont.com
,"One  South, 101 South Tryon Street, Suite 1400 | Charlotte, NC 28280 | United States","One  South, 101 South Tryon Street, Suite 1400 | Charlotte, NC 28280 | United States","One  South, 101 South Tryon Street, Suite 1400 | Charlotte, NC 28280 | United States"
Special Servicer,KeyBank National  Association,,
,Attention: Michael  A. Tilden,,michael_a_tilden@keybank.com
,"11501  Outlook Street, Suite 300 | Overland Park, KS 66211 | United States","11501  Outlook Street, Suite 300 | Overland Park, KS 66211 | United States","11501  Outlook Street, Suite 300 | Overland Park, KS 66211 | United States"
Operating Advisor  & Asset Representations Reviewer,"BellOak, LLC",,
,Attention: Reporting,,reporting@belloakadvisors.com
,"1717  McKinney Avenue, 12th Floor | Dallas, TX 75202 | United States","1717  McKinney Avenue, 12th Floor | Dallas, TX 75202 | United States","1717  McKinney Avenue, 12th Floor | Dallas, TX 75202 | United States"
Trustee,Deutsche Bank National  Trust Company,,
,Attention: Trust  Administration,,cmbsadmin@list.db.com
,"1761  East St. Andrew Place | Santa Ana, CA 92705 | United States","1761  East St. Andrew Place | Santa Ana, CA 92705 | United States","1761  East St. Andrew Place | Santa Ana, CA 92705 | United States"
