0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,,,Initial  Principal  Amount(2),Initial  Principal  Amount(2),,,Initial  Offered  Amount(3),Initial  Offered  Amount(3),,,Interest  Rate(4),,Final Scheduled  Payment Date,,Expected Final  Payment Date
Class A-1 Notes,,,$,421000000,,,$,399950000,,,·%,,"February 22, 2027",,"September 21, 2026"
Class A-2a Notes(2) Class A-2b Notes(2),},,$,583000000,,,$,553850000,,,·% SOFR Rate +·%,,"September 21, 2028 September 21, 2028",,"September 21, 2027 September 21, 2027"
Class A-3 Notes,,,$,583000000,,,$,553850000,,,·%,,"September 23, 2030",,"May 21, 2029"
Class A-4 Notes,,,$,97211000,,,$,92350000,,,·%,,"May 21, 2032",,"May 21, 2029"
Total,,,$,1684211000,,,$,1600000000,,,,,,,
