0,1,2,3,4,5,6,7,8,9
Retail Tenant Summary(1),Retail Tenant Summary(1),Retail Tenant Summary(1),Retail Tenant Summary(1),Retail Tenant Summary(1),Retail Tenant Summary(1),Retail Tenant Summary(1),Retail Tenant Summary(1),Retail Tenant Summary(1),Retail Tenant Summary(1)
Tenant Name,Credit Rating (Fitch/Moody's/ S&P),Tenant SF,% of Total SF,Annual UW Rent,% of Total Annual UW Rent,Annual UW Rent PSF,Lease Expiration,Term. Option (Y/N),Renewal Options
Reading China&Glass / Nissley Wine,NR/NR/NR,23995,8.2%,"$215,955",6.0%,$9.00,1/31/2029,Yes(2),2 x 5 yrs
Artisan Mill Co.,NR/NR/NR,15143,5.2%,"$181,716",5.0%,$12.00,4/30/2030,No,2 x 5 yrs
Carter's,NR/NR/NR,15000,5.1%,"$300,000",8.3%,$20.00,1/31/2030,Yes(3),
Baseball Academy,NR/NR/NR,12733,4.4%,"$152,796",4.2%,$12.00,10/31/2030,No,2 x 5 yrs
Lee | Wrangler Clearance,NR/NR/NR,12154,4.2%,"$206,618",5.7%,$17.00,4/30/2029,No,2 x 3 yrs
Subtotal/Wtd. Avg.,,79025,27.0%,"$1,057,085",29.3%,$13.38,,,
,,,,,,,,,
Other Tenants,,161907,55.4%,"$2,547,047",70.7%,$15.73,,,
Total Occupied Space,,240932,82.4%,"$3,604,132",100.0%,$14.96,,,
,,,,,,,,,
Vacant Space,,51520,17.6%,,,,,,
Total,,292452,100.0%,,,,,,
