0,1,2,3,4,5,6,7,8,9
Retail Tenant Summary(1),Retail Tenant Summary(1),Retail Tenant Summary(1),Retail Tenant Summary(1),Retail Tenant Summary(1),Retail Tenant Summary(1),Retail Tenant Summary(1),Retail Tenant Summary(1),Retail Tenant Summary(1),Retail Tenant Summary(1)
Tenant Name,Credit Rating (Fitch/Moody's/S&P)(2),Tenant SF,% of Total SF,Annual UW Rent,% of Total Annual UW Rent,Annual UW Rent PSF,Lease Expiration,Term. Option (Y/N),Renewal Options
Celink(3),NR/NR/NR,37539,22.7%,"$976,014",26.4%,$26.00,12/31/2027,No,
"BGE, Inc.",NR/NR/NR,35715,21.6%,"$928,590",25.1%,$26.00,4/30/2029,No,1 x 5 yr
"Micron Technology, Inc.",BBB+/Baa2/BBB,17072,10.3%,"$447,177",12.1%,$26.19,3/31/2028,No,1 x 5 yr
US Marine Corps (USMC),NR/NR/NR,12957,7.8%,"$390,524",10.5%,$30.14,4/22/2030,Yes(5),
Aspen University(4),NR/NR/NR,12193,7.4%,"$323,114",8.7%,$26.50,10/31/2028,No,2 x 5 yr
Subtotal/Wtd. Avg.,,115476,69.9%,"$3,065,420",82.8%,$26.55,,,
Other Tenants,,24469,14.8%,"$636,597",17.2%,$26.02,,,
Total Occupied Space,,139945,84.7%,"$3,702,016",100.0%,$26.45,,,
Vacant Space,,25313,15.3%,,,,,,
Total/Wtd. Avg.,,165258,100.0%,,,,,,
